Symbol,Alias,Description,Function,Gene_Set,Species,Literature_Name,Literature_Link,KEGG_ID,KEGG_Name,Gene_ID
SLC13A1,"Renal Sodium/Sulfate Cotransporter","solute carrier family 13 (sodium/sulfate symporter), member 1","Sodium/sulfate cotransporter that mediates sulfate reabsorption in the kidney.",others,"Homo sapiens","The human renal sodium sulfate cotransporter (SLC13A1; hNaSi-1) cDNA and gene: organization, chromosomal localization, and functional characterization",10.1006/geno.2000.6404,unknown,Unknown,6561
SNCG,"BCSG1; SR; persyn","synuclein, gamma (breast cancer-specific protein 1)","SNCG intracellularly associates with BubR1 together suggest that SNCG expression compromises the mitotic checkpoint control by inhibition of the normal function of BubR1, thereby promoting genetic instability.","genomic instability","Homo sapiens","Synuclein Gamma Inhibits the Mitotic Checkpoint Function and Promotes Chromosomal Instability of Breast Cancer Cells",10.1007/s10549-005-6938-0,unknown,Unknown,6623
SOCS2,"Cytokine-Inducible SH2 Protein 2","suppressor of cytokine signaling 2","SOCS family proteins form part of a classical negative feedback system that regulates cytokine signal transduction. SOCS2 appears to be a negative regulator in the growth hormone/IGF1 signaling pathway. Probable substrate recognition component of a SCF-like ECS (Elongin BC-CUL2/5-SOCS-box protein) E3 ubiquitin-protein ligase complex which mediates the ubiquitination and subsequent proteasomal degradation of target proteins.","altered intercellular communication","Homo sapiens","Interaction of human suppressor of cytokine signaling (SOCS)-2 with the insulin-like growth factor-I receptor",10.1006/geno.2000.6404,hsa04910,"Insulin signaling pathway",8835
SOD1,"IPOA; ALS; ALS1","superoxide dismutase 1, soluble","In a more recent study the kidneys of SOD1-null mice exhibited increased DNA damage, increased senescent cells, and increased inflammation. Subjecting these mice to dietary restriction attenuated these effects.","cellular senescence","Homo sapiens","Amyotrophic lateral sclerosis: a proposed mechanism",10.1073/pnas.132260399,unknown,Unknown,6647
SOD2,"Superoxide Dismutase 2; Mn-SOD; MNSOD","superoxide dismutase 2, mitochondrial","Overexpression of SOD2 in aging mouse hearts demonstrated a protective role against oxidative stress, fibrosis and apoptosis.",others,"Homo sapiens","The polymorphism of manganese superoxide dismutase is associated with diabetic nephropathy in Japanese type 2 diabetic patients",10.1007/s100380300021,hsa04211,"Longevity regulating pathway",6648
SP1,TSFP1,"Sp1 transcription factor","SP1 regulates ageing-related genes such as?WRN or cellular senescence-related genes like?CDKN2A.","genomic instability","Homo sapiens","Sp1 Is Essential for p16 Expression in Homo sapiens Diploid Fibroblasts During Senescence",10.1371/journal.pone.0000164,hsa04350,"TGF-beta signaling pathway",6667
SPRTN,"DNA Damage-Targeting VCP (P97) Adaptor","SprT-like N-terminal domain","SPRTN is recruited to sites of UV damage and interacts with ubiquitinated PCNA and RAD18, the E3 ubiquitin ligase that monoubiquitinates PCNA. SPRTN facilitates chromatin association of RAD18 and is required for efficient PCNA monoubiquitination, promoting a feed-forward loop to enhance PCNA ubiquitination and translesion DNA synthesis. SPRTN acts as a regulator of TLS by recruiting VCP/p97 to sites of DNA damage, possibly leading to extraction of DNA polymerase eta (POLH) by VCP/p97 to prevent excessive translesion DNA synthesis and limit the incidence of mutations induced by DNA damage.","genomic instability","Homo sapiens","DNA-protein crosslink repair: proteases as DNA repair enzymes",10.1016/j.tibs.2014.10.012,unknown,Unknown,83932
SQSTM1,"Autophagy Receptor P62","sequestosome 1","Autophagy receptor required for selective macroautophagy (aggrephagy). SQSTM1 functions as a bridge between polyubiquitinated cargo and autophagosomes. SQSTM1 interacts directly with both the cargo to become degraded and an autophagy modifier of the MAP1 LC3 family. Along with WDFY3, SQSTM1 is involved in the formation and autophagic degradation of cytoplasmic ubiquitin-containing inclusions (p62 bodies, ALIS/aggresome-like induced structures).","deregulated nutrient sensing","Homo sapiens","Sequestosome 1/p62 is a polyubiquitin chain binding protein involved in ubiquitin proteasome degradation",10.1128/MCB.24.18.8055-8068.2004,hsa04218,"Cellular senescence",8878
SST,SMS,somatostatin,"SST inhibits the secretion of pituitary hormones, including that of growth hormone/somatotropin (GH1), PRL, ACTH, luteinizing hormone (LH) and TSH.",others,"Homo sapiens","Hypermethylation of BDNF and SST Genes in the Orbital Frontal Cortex of Older Individuals: A Putative Mechanism for Declining Gene Expression With Age",10.1038/npp.2015.107,hsa04935,"Growth hormone synthesis, secretion and action",6750
SSTR3,"Somatostatin Receptor 3; Somatostatin Receptor Type 3","somatostatin receptor 3","It have been associated with melanoma.",others,"Homo sapiens","Expression of Somatostatin Receptors in Uveal Melanomas",10.1167/iovs.02-0481,hsa04935,"Growth hormone synthesis, secretion and action",6753
STAT3,"APRF; ADMIO1","signal transducer and activator of transcription 3 (acute-phase response factor)","Signal transducer and transcription activator that mediates cellular responses to interleukins, KITLG/SCF, LEP and other growth factors.","cellular senescence","Homo sapiens","Inhibition of JAK-STAT signaling stimulates adult satellite cell function",10.1038/nm.3655,hsa04935,"Growth hormone synthesis, secretion and action",6774
STAT5A,"STAT5; MGF","signal transducer and activator of transcription 5A","STAT5A carries out a dual function: signal transduction and activation of transcription. STAT5A mediates cellular responses to the cytokine KITLG/SCF and other growth factors.","cellular senescence","Homo sapiens","SOCS1 Regulates Senescence and Ferroptosis by Modulating the Expression of p53 Target Genes",10.18632/aging.101306,hsa04935,"Growth hormone synthesis, secretion and action",6776
STAT5B,STAT5,"signal transducer and activator of transcription 5B","STAT5B carries out a dual function: signal transduction and activation of transcription. STAT5B mediates cellular responses to the cytokine KITLG/SCF and other growth factors. STAT5B binds to the GAS element and activates PRL-induced transcription. STAT5B positively regulates hematopoietic/erythroid differentiation.","cellular senescence","Homo sapiens","Direct Targeting Options for STAT3 and STAT5 in Cancer",10.3390/cancers11121930,hsa04935,"Growth hormone synthesis, secretion and action",6777
STK11,"PJS; LKB1","serine/threonine kinase 11","STK11 appears to be involved in TP53-related apoptosis and regulates specific p53-dependent apoptosis pathways.","cellular senescence","Homo sapiens","The Peutz-Jegher Gene Product LKB1 Is a Mediator of p53-dependent Cell Death",10.1016/s1097-2765(01)00258-1,hsa04211,"Longevity regulating pathway",6794
STUB1,"Carboxy Terminus Of Hsp70-Interacting Protein","STIP1 homology and U-box containing protein 1, E3 ubiquitin protein ligase","E3 ubiquitin-protein ligase which targets misfolded chaperone substrates towards proteasomal degradation. STUB1 collaborates with ATXN3 in the degradation of misfolded chaperone substrates: ATXN3 restricting the length of ubiquitin chain attached to STUB1/CHIP substrates and preventing further chain extension. STUB1 may regulate myosin assembly in striated muscles together with UBE4B and VCP/p97 by targeting myosin chaperone UNC45B for proteasomal degradation. STUB1 mediates ubiquitination of RIPK3 leading to its subsequent proteasome-dependent degradation.","loss of proteostasis","Homo sapiens","CHIP/Stub1 functions as a tumor suppressor and represses NF-κB-mediated signaling in colorectal cancer",https://doi.org/10.1093/carcin/bgt393,unknown,Unknown,10273
SUMO1,"PIC1; GMP1; SMT3C","small ubiquitin-like modifier 1","SUMO1 is a small protein that interacts with several partners and hence is related to many processes, including DNA repair and signal transduction.","genomic instability","Homo sapiens","SUMO suppresses and MYC amplifies transcription globally by regulating CDK9 sumoylation",10.1038/s41422-018-0023-9,unknown,Unknown,7341
SUN1,"SUN Domain-Containing Protein 1","Sad1 and UNC84 domain containing 1","As a component of the LINC (LInker of Nucleoskeleton and Cytoskeleton) complex involved in the connection between the nuclear lamina and the cytoskeleton. SUN1 is involved in telomere attachment to nuclear envelope in the prophase of meiosis implicating a SUN1/2:KASH5 LINC complex in which SUN1 and SUN2 seem to act at least partial redundantly. SUN1 is required for gametogenesis and involved in selective gene expression of coding and non-coding RNAs needed for gametogenesis. SUN1 may play a role in DNA repair by suppressing non-homologous end joining repair to facilitate the repair of DNA cross-links.",others,"Homo sapiens","Telomere anchoring at the nuclear periphery requires the budding yeast Sad1-UNC-84 domain protein Mps3",10.1083/jcb.200706040,unknown,Unknown,23353
SYK,P72-Syk,"Spleen Associated Tyrosine Kinase","Non-receptor tyrosine kinase which mediates signal transduction downstream of a variety of transmembrane receptors including classical immunoreceptors like the B-cell receptor (BCR). Regulates several biological processes including innate and adaptive immunity, cell adhesion, osteoclast maturation, platelet activation and vascular development. Assembles into signaling complexes with activated receptors at the plasma membrane via interaction between its SH2 domains and the receptor tyrosine-phosphorylated ITAM domains. The association with the receptor can also be indirect and mediated by adapter proteins containing ITAM or partial hemITAM domains. The phosphorylation of the ITAM domains is generally mediated by SRC subfamily kinases upon engagement of the receptor. More rarely signal transduction via SYK could be ITAM-independent. Direct downstream effectors phosphorylated by SYK include VAV1, PLCG1, PI-3-kinase, LCP2 and BLNK.","NF-κB related gene","Homo sapiens","Caffeoyl-Prolyl-Histidine Amide Inhibits Fyn and Alleviates Atopic Dermatitis-Like Phenotypes via Suppression of NF-κB Activation",10.3390/ijms21197160,hsa04064,"NF-kappa B signaling pathway",6850
TAB1,MAP3K7IP1,"TGF-Beta Activated Kinase 1 (MAP3K7) Binding Protein 1","May be an important signaling intermediate between TGFB receptors and MAP3K7/TAK1. May play an important role in mammalian embryogenesis.","NF-κB related gene","Homo sapiens","Genome-Wide Association Transethnic Meta-Analyses Identifies Novel Associations Regulating Coagulation Factor VIII and von Willebrand Factor Plasma Levels",10.1161/CIRCULATIONAHA.118.034532,hsa04064,"NF-kappa B signaling pathway",10454
TAB2,MAP3K7IP2,"TGF-Beta Activated Kinase 1 (MAP3K7) Binding Protein 2","Adapter linking MAP3K7/TAK1 and TRAF6. Promotes MAP3K7 activation in the IL1 signaling pathway. The binding of 'Lys-63'-linked polyubiquitin chains to TAB2 promotes autophosphorylation of MAP3K7 at 'Thr-187'. Involved in heart development.","NF-κB related gene","Homo sapiens","Activation mechanism of c-Jun amino-terminal kinase in the course of neural differentiation of P19 embryonic carcinoma cells",10.1074/jbc.M406610200,hsa04064,"NF-kappa B signaling pathway",23118
TAF1,"NSCL2; TAFII250; KAT4;","TAF1 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 250kDa","TAF1 is essential in cell cycle progression and involved in transcription as part of the TFIID transcription factor together with TBP.","cellular senescence","Homo sapiens","The p250 subunit of native TATA box-binding factor TFIID is the cell-cycle regulatory protein CCG1",10.1038/362179a0,unknown,Unknown,6872
TBP,"TFIID; GTF2D1; SCA17","TATA box binding protein","TBP is part of the TFIID general transcription factor. Because of its central role in the activation of eukaryotic genes, TBP is potentially involved in a large variety of processes.","genomic instability","Homo sapiens","RNA Polymerase II Transcription in Murine Cells Lacking the TATA Binding Protein",10.1126/science.1076327,unknown,Unknown,6908
TCF3,"ITF1; E2A","transcription factor 3","Transcriptional regulator. TCF3 is involved in the initiation of neuronal differentiation. Heterodimers between TCF3 and tissue-specific basic helix-loop-helix (bHLH) proteins play major roles in determining tissue-specific cell fate during embryogenesis, like muscle or early B-cell differentiation.","cellular senescence","Homo sapiens","Hedgehog Signaling Maintains Hair Follicle Stem Cell Phenotype in Young and Aged Human Skin",10.1111/j.1474-9726.2009.00526.x,hsa04550,"Signaling pathways regulating pluripotency of stem cells",6929
TERC,"PFBMFT2; DKCA1","telomerase RNA component","Telomerase RNA component,involved in telomere maintenance as template in telomeric DNA synthesis,transcription up-regulated by endogeneous TERT.","telomere attrition","Homo sapiens","HuR Regulates Telomerase Activity Through TERC Methylation",10.1038/s41467-018-04617-7,unknown,Unknown,7012
TERF1,"PIN2; TRF1; TRF","telomeric repeat binding factor (NIMA-interacting) 1","TRF1 is an essential component of shelterin, with important roles in telomere protection and telomere replication.","telomere attrition","Homo sapiens","Control of human telomere length by TRF1 and TRF2",10.1128/mcb.20.5.1659-1668.2000,unknown,Unknown,7013
TERF2,"TRF2; TRBF2","telomeric repeat binding factor 2","TRF2 is essential for telomere capping owing to its roles in suppressing an ATM-dependent DNA damage response (DDR) at chromosome ends and inhibiting end-to-end chromosome fusions.","telomere attrition","Homo sapiens","TRF2 recruits the Werner syndrome (WRN) exonuclease for processing of telomeric DNA",10.1038/sj.onc.1206906,unknown,Unknown,7014
TERT,"HEST2; TCS1","telomerase reverse transcriptase","Telomerase is a ribonucleoprotein enzyme essential for the replication of chromosome termini in most eukaryotes.","telomere attrition","Homo sapiens","GWAS of Epigenetic Aging Rates in Blood Reveals a Critical Role for TERT",10.1038/s41467-017-02697-5,unknown,Unknown,7015
TFAP2A,"AP-2; TFAP2; AP2TF","transcription factor AP-2 alpha (activating enhancer binding protein 2 alpha)","Sequence-specific DNA-binding protein that interacts with inducible viral and cellular enhancer elements to regulate transcription of selected genes.","genomic instability","Homo sapiens","Age related expression of Werner's syndrome protein in selected tissues and coexpression of transcription factors",10.1136/jcp.55.3.195,unknown,Unknown,7020
TFDP1,"Dp-1; DRTF1; DP1","transcription factor Dp-1","TFDP1 is a transcription factor that may play a role in cell cycle regulation and apoptosis.","cellular senescence","Homo sapiens","Reduction of Total E2F/DP Activity Induces Senescence-Like Cell Cycle Arrest in Cancer Cells Lacking Functional pRB and p53",10.1083/jcb.200411093,hsa04110,"Cell cycle",7027
TGFB1,"CED; TGFbeta; TGFB","transforming growth factor, beta 1","The variability of the TGF-beta1 gene may affect longevity by playing a role in inflamm-aging.","altered intercellular communication","Homo sapiens","The G/C915 Polymorphism of Transforming Growth Factor beta1 Is Associated With Homo sapiens Longevity: A Study in Italian Centenarians",10.1111/j.1474-9728.2004.00129.x,hsa04218,"Cellular senescence",7040
TICAM1,TRIF,"Toll Like Receptor Adaptor Molecule 1","Functions as sorting adapter in different signaling pathways to facilitate downstream signaling leading to type I interferon induction. In TLR4 signaling, physically bridges TLR4 and TICAM1 and functionally transmits signal to TICAM1 in early endosomes after endocytosis of TLR4. In TLR2 signaling, physically bridges TLR2 and MYD88 and is required for the TLR2-dependent movement of MYD88 to endosomes following ligand engagement . Involved in IL-18 signaling and is proposed to function as a sorting adapter for MYD88 in IL-18 signaling during adaptive immune response . Forms a complex with RAB11FIP2 that is recruited to the phagosomes to promote the activation of the actin-regulatory GTPases RAC1 and CDC42 and subsequent phagocytosis of Gram-negative bacteria.","NF-κB related gene","Homo sapiens","Impact of age, BMI and HbA1c levels on the genome-wide DNA methylation and mRNA expression patterns in human adipose tissue and identification of epigenetic biomarkers in blood",10.1093/hmg/ddv124,hsa04064,"NF-kappa B signaling pathway",148022
TIMP1,CLGI,"TIMP Metallopeptidase Inhibitor 1","Metalloproteinase inhibitor that functions by forming one to one complexes with target metalloproteinases, such as collagenases, and irreversibly inactivates them by binding to their catalytic zinc cofactor. Acts on MMP1, MMP2, MMP3, MMP7, MMP8, MMP9, MMP10, MMP11, MMP12, MMP13 and MMP16. Does not act on MMP14. Also functions as a growth factor that regulates cell differentiation, migration and cell death and activates cellular signaling cascades via CD63 and ITGB1. Plays a role in integrin signaling. Mediates erythropoiesis in vitro; but, unlike IL3, it is species-specific, stimulating the growth and differentiation of only human and murine erythroid progenitors.","loss of proteostasis","Homo sapiens","Matrix Metalloproteinases and Tissue Inhibitors of Metalloproteinases in Extracellular Matrix Remodeling during Left Ventricular Diastolic Dysfunction and Heart Failure with Preserved Ejection Fraction: A Systematic Review and Meta-Analysis",10.3390/ijms21186742,hsa04066,"HIF-1 signaling pathway",7076
TIMP2,CSC-21K,"TIMP Metallopeptidase Inhibitor 2","Complexes with metalloproteinases (such as collagenases) and irreversibly inactivates them by binding to their catalytic zinc cofactor. Known to act on MMP-1, MMP-2, MMP-3, MMP-7, MMP-8, MMP-9, MMP-10, MMP-13, MMP-14, MMP-15, MMP-16 and MMP-19.","senescence-associated secretory phenotype","Homo sapiens","The effect of aging in primary human dermal fibroblasts",10.1371/journal.pone.0219165,unknown,Unknown,7077
TIRAP,MyD88-2,"TIR Domain Containing Adaptor Protein","Adapter involved in TLR2 and TLR4 signaling pathways in the innate immune response. Acts via IRAK2 and TRAF-6, leading to the activation of NF-kappa-B, MAPK1, MAPK3 and JNK, and resulting in cytokine secretion and the inflammatory response. Positively regulates the production of TNF-alpha and interleukin-6.","NF-κB related gene","Homo sapiens","Bidirectional, Temporal Associations of Sleep with Positive Events, Affect, and Stressors in Daily Life Across a Week",10.1007/s12160-016-9864-y,hsa04064,"NF-kappa B signaling pathway",114609
TLR4,ARMD10,"Toll Like Receptor 4","Cooperates with LY96 and CD14 to mediate the innate immune response to bacterial lipopolysaccharide (LPS) . Acts via MYD88, TIRAP and TRAF6, leading to NF-kappa-B activation, cytokine secretion and the inflammatory response . Also involved in LPS-independent inflammatory responses triggered by free fatty acids, such as palmitate, and Ni(2+). Responses triggered by Ni(2+) require non-conserved histidines and are, therefore, species-specific. Both M.tuberculosis HSP70 (dnaK) and HSP65 (groEL-2) act via this protein to stimulate NF-kappa-B expression.","NF-κB related gene","Homo sapiens","DUSP facilitates RPMI8226 myeloma cell aging and inhibited TLR4 expression",10.26355/eurrev_201809_15939,hsa04064,"NF-kappa B signaling pathway",7099
TMEM67,Meckelin,"Transmembrane Protein 67","Required for ciliary structure and function. Part of the tectonic-like complex which is required for tissue-specific ciliogenesis and may regulate ciliary membrane composition (By similarity). Involved in centrosome migration to the apical cell surface during early ciliogenesis. Involved in the regulation of cilia length and appropriate number through the control of centrosome duplication. Required for cell branching morphology. Essential for endoplasmic reticulum-associated degradation (ERAD) of surfactant protein C (SFTPC).",others,"Homo sapiens","Hydrocephalus in a rat model of Meckel Gruber syndrome with a TMEM67 mutation",10.1038/s41598-018-37620-5,unknown,Unknown,91147
TNF,"TNFSF2; DIF; TNF-alpha","tumor necrosis factor","A cytokine involved in the immune response, TNF can induce cell death in some tumour cells. It can also induce cellular proliferation and differentiation.","altered intercellular communication","Homo sapiens","The tumor necrosis factor alpha -308G>A polymorphism is associated with dementia in the oldest old",10.1111/j.1532-5415.2004.52369.x,hsa04150,"mTOR signaling pathway",7124
TNFAIP3,"Zinc Finger Protein A20","TNF Alpha Induced Protein 3","Ubiquitin-editing enzyme that contains both ubiquitin ligase and deubiquitinase activities. Involved in immune and inflammatory responses signaled by cytokines, such as TNF-alpha and IL-1 beta, or pathogens via Toll-like receptors (TLRs) through terminating NF-kappa-B activity. Essential component of a ubiquitin-editing protein complex, comprising also RNF11, ITCH and TAX1BP1, that ensures the transient nature of inflammatory signaling pathways. In cooperation with TAX1BP1 promotes disassembly of E2-E3 ubiquitin protein ligase complexes in IL-1R and TNFR-1 pathways; affected are at least E3 ligases TRAF6, TRAF2 and BIRC2, and E2 ubiquitin-conjugating enzymes UBE2N and UBE2D3. In cooperation with TAX1BP1 promotes ubiquitination of UBE2N and proteasomal degradation of UBE2N and UBE2D3.","NF-κB related gene","Homo sapiens","TNFAIP3 Plays a Role in Aging of the Hematopoietic System",10.3389/fimmu.2020.536442,hsa04064,"NF-kappa B signaling pathway",7128
TNFRSF10C,TRID,"TNF Receptor Superfamily Member 10c","Receptor for the cytotoxic ligand TRAIL. Lacks a cytoplasmic death domain and hence is not capable of inducing apoptosis. May protect cells against TRAIL mediated apoptosis by competing with TRAIL-R1 and R2 for binding to the ligand.","senescence-associated secretory phenotype","Homo sapiens","CSF protein changes associated with hippocampal sclerosis risk gene variants highlight impact of GRN/PGRN",10.1016/j.exger.2017.01.025,hsa04060,"Cytokine-cytokine receptor interaction",8794
TNFRSF11A,RANK,"TNF Receptor Superfamily Member 11a","Receptor for TNFSF11/RANKL/TRANCE/OPGL; essential for RANKL-mediated osteoclastogenesis. Involved in the regulation of interactions between T-cells and dendritic cells.","NF-κB related gene","Homo sapiens","A genome-wide association study of myasthenia gravis",10.1001/jamaneurol.2014.4103,hsa04064,"NF-kappa B signaling pathway",8792
TNFRSF11B,Osteoprotegerin,"TNF Receptor Superfamily Member 11b","Acts as decoy receptor for TNFSF11/RANKL and thereby neutralizes its function in osteoclastogenesis. Inhibits the activation of osteoclasts and promotes osteoclast apoptosis in vitro. Bone homeostasis seems to depend on the local ratio between TNFSF11 and TNFRSF11B. May also play a role in preventing arterial calcification. May act as decoy receptor for TNFSF10/TRAIL and protect against apoptosis. TNFSF10/TRAIL binding blocks the inhibition of osteoclastogenesis.",others,"Homo sapiens","Melatonin-micronutrients Osteopenia Treatment Study (MOTS): a translational study assessing melatonin, strontium (citrate), vitamin D3 and vitamin K2 (MK7) on bone density, bone marker turnover and health related quality of life in postmenopausal osteopen",10.18632/aging.101158,hsa04060,"Cytokine-cytokine receptor interaction",4982
TNFRSF13C,CD268,"TNF Receptor Superfamily Member 13C","B-cell receptor specific for TNFSF13B/TALL1/BAFF/BLyS. Promotes the survival of mature B-cells and the B-cell response.","NF-κB related gene","Homo sapiens","Recurrent respiratory tract infections (RRTI) in the elderly: A late onset mild immunodeficiency?",10.1016/j.clim.2017.05.008,hsa04064,"NF-kappa B signaling pathway",115650
TNFRSF1A,TNF-R-I,"TNF Receptor Superfamily Member 1A","Receptor for TNFSF2/TNF-alpha and homotrimeric TNFSF1/lymphotoxin-alpha. The adapter molecule FADD recruits caspase-8 to the activated receptor. The resulting death-inducing signaling complex (DISC) performs caspase-8 proteolytic activation which initiates the subsequent cascade of caspases (aspartate-specific cysteine proteases) mediating apoptosis. Contributes to the induction of non-cytocidal TNF effects including anti-viral state and activation of the acid sphingomyelinase.","senescence-associated secretory phenotype","Homo sapiens","Sulforaphane alleviates cadmium-induced toxicity in human mesenchymal stem cells through POR and TNFSF10 genes expression",10.1016/j.biopha.2019.108896,hsa04010,"MAPK signaling pathway",7132
TNFRSF1B,TNFBR,"TNF Receptor Superfamily Member 1B","Receptor with high affinity for TNFSF2/TNF-alpha and approximately 5-fold lower affinity for homotrimeric TNFSF1/lymphotoxin-alpha. The TRAF1/TRAF2 complex recruits the apoptotic suppressors BIRC2 and BIRC3 to TNFRSF1B/TNFR2. This receptor mediates most of the metabolic effects of TNF-alpha. Isoform 2 blocks TNF-alpha-induced apoptosis, which suggests that it regulates TNF-alpha function by antagonizing its biological activity.","senescence-associated secretory phenotype","Homo sapiens","Association of TNF Receptor 2 and CRP with GFR Decline in the General Nondiabetic Population",10.2215/CJN.09280916,hsa04060,"Cytokine-cytokine receptor interaction",7133
