Symbol,Alias,Description,Function,Gene_Set,Species,Literature_Name,Literature_Link,KEGG_ID,KEGG_Name,Gene_ID
CREB3L4,"Cyclic AMP-Responsive Element-Binding Protein 4","cyclic AMP-responsive element-binding protein 3-like protein 4","Transcriptional activator that may play a role in the unfolded protein response. Binds to the UPR element (UPRE) but not to CRE element. Preferentially binds DNA with to the consensus sequence 5'-T[GT]ACGT[GA][GT]-3' and has transcriptional activation activity from UPRE. Binds to NF-kappa-B site and has transcriptional activation activity from NF-kappa-B-containing regulatory elements.","loss of proteostasis","Homo sapiens","CREB4, a transmembrane bZip transcription factor and potential new substrate for regulation and cleavage by S1P",10.1091/mbc.e05-06-0500,hsa04211,"Longevity regulating pathway",148327
CREB5,CREBPA,"cyclic AMP-responsive element-binding protein 5","Binds to the cAMP response element and activates transcription.",others,"Homo sapiens","Regulation of trans-activating capacity of CRE-BPa by phorbol ester tumor promoter TPA","PMID: 8378084",hsa04211,"Longevity regulating pathway",9586
CREBBP,"Histone Lysine Acetyltransferase CREBBP","CREB binding protein","Acetylates histones, giving a specific tag for transcriptional activation. Also acetylates non-histone proteins, like DDX21, FBL, IRF2, MAFG, NCOA3, POLR1E/PAF53 and FOXO1. Binds specifically to phosphorylated CREB and enhances its transcriptional activity toward cAMP-responsive genes. Acts as a coactivator of ALX1. Acts as a circadian transcriptional coactivator which enhances the activity of the circadian transcriptional activators: NPAS2-ARNTL/BMAL1 and CLOCK-ARNTL/BMAL1 heterodimers.",others,"Homo sapiens","Pokemon (FBI-1) interacts with Smad4 to repress TGF-β-induced transcriptional responses",10.1016/j.bbagrm.2014.12.008,hsa04066,"HIF-1 signaling pathway",1387
CSF2RB,"CD131; IL3RB","Colony Stimulating Factor 2 Receptor Subunit Beta","High affinity receptor for interleukin-3, interleukin-5 and granulocyte-macrophage colony-stimulating factor.","senescence-associated secretory phenotype","Homo sapiens","Senescence-associated-gene signature identifies genes linked to age, prognosis, and progression of human gliomas",10.1016/j.jgo.2014.08.003,unknown,Unknown,1439
CSNK1E,"Casein Kinase I Isoform Epsilon","casein kinase 1, epsilon","Casein kinases are operationally defined by their preferential utilization of acidic proteins such as caseins as substrates. Can phosphorylate a large number of proteins. Participates in Wnt signaling. Phosphorylates DVL1 and DVL2. Central component of the circadian clock. In balance with PP1, determines the circadian period length, through the regulation of the speed and rhythmicity of PER1 and PER2 phosphorylation. Controls PER1 and PER2 nuclear transport and degradation. Inhibits cytokine-induced granuloytic differentiation.","loss of proteostasis","Homo sapiens","Testing the circadian gene hypothesis in prostate cancer: a population-based case-control study",10.1158/0008-5472.CAN-09-0648,hsa04310,"Wnt signaling pathway",1454
CTF1,Cardiotrophin-1,"cardiotrophin 1","Induce cardiac myocyte hypertrophy in vitro. Binds to and activates the ILST/gp130 receptor.",others,"Homo sapiens","Human cardiotrophin-1: protein and gene structure, biological and binding activities, and chromosomal localization",10.1006/cyto.1996.0026,hsa04630,"JAK-STAT signaling pathway",1489
CTGF,"IGFBP8; CCN2","connective tissue growth factor","The encoded protein plays a role in chondrocyte proliferation and differentiation, cell adhesion in many cell types, and is related to platelet-derived growth factor.","stem cell exhaustion","Homo sapiens","Expression of Connective Tissue Growth Factor, a Biomarker in Senescence of Human Diploid Fibroblasts, Is Up-Regulated by a Transforming Growth Factor-Beta-Mediated Signaling Pathway",10.1016/j.bbrc.2004.04.108,unknown,Unknown,1490
CTNNB1,"beta-catenin; armadillo; CTNNB","catenin (cadherin-associated protein), beta 1, 88kDa","CTNNB1, also known as beta-catenin, is a member of the adherens junctions proteins, involved in epithelial layers that mediate adhesion between cells, cell communication, growth, embryogenesis, and wound healing.","altered intercellular communication","Homo sapiens","beta-Catenin Controls Hair Follicle Morphogenesis and Stem Cell Differentiation in the Skin",10.1016/s0092-8674(01)00336-1,hsa04310,"Wnt signaling pathway",1499
CXCL1,"GROa; MGSA","C-X-C Motif Chemokine Ligand 1","Has chemotactic activity for neutrophils. May play a role in inflammation and exerts its effects on endothelial cells in an autocrine fashion.","senescence-associated secretory phenotype","Homo sapiens","The Inflammatory Microenvironment of the Aging Prostate Facilitates Cellular Proliferation and Hypertrophy",10.1016/j.cyto.2008.05.012,hsa04064,"NF-kappa B signaling pathway",2919
CXCL12,"SDF-1a; SDF-1b","C-X-C Motif Chemokine Ligand 12","Chemoattractant active on T-lymphocytes and monocytes but not neutrophils. Activates the C-X-C chemokine receptor CXCR4 to induce a rapid and transient rise in the level of intracellular calcium ions and chemotaxis.","senescence-associated secretory phenotype","Homo sapiens","The Inflammatory Microenvironment of the Aging Prostate Facilitates Cellular Proliferation and Hypertrophy",10.1016/j.cyto.2008.05.012,hsa04064,"NF-kappa B signaling pathway",6387
CXCL2,"MIP-2a; MIP2A","C-X-C Motif Chemokine Ligand 2","Produced by activated monocytes and neutrophils and expressed at sites of inflammation.","senescence-associated secretory phenotype","Homo sapiens","The Inflammatory Microenvironment of the Aging Prostate Facilitates Cellular Proliferation and Hypertrophy",10.1016/j.cyto.2008.05.012,hsa04064,"NF-kappa B signaling pathway",2920
CXCL5,"ENA-78; SCYB5","C-X-C Motif Chemokine Ligand 5","Involved in neutrophil activation.","senescence-associated secretory phenotype","Homo sapiens","The Inflammatory Microenvironment of the Aging Prostate Facilitates Cellular Proliferation and Hypertrophy",10.1016/j.cyto.2008.05.012,unknown,Unknown,6374
CXCL6,"SCYB6; GCP2","C-X-C Motif Chemokine Ligand 6","Chemotactic for neutrophil granulocytes. Signals through binding and activation of its receptors (CXCR1 and CXCR2).","senescence-associated secretory phenotype","Homo sapiens","The Inflammatory Microenvironment of the Aging Prostate Facilitates Cellular Proliferation and Hypertrophy",10.1016/j.cyto.2008.05.012,unknown,Unknown,6372
CXCL8,"LYNAP; SCYB8","C-X-C Motif Chemokine Ligand 8","IL-8 is a chemotactic factor that attracts neutrophils, basophils, and T-cells, but not monocytes. It is also involved in neutrophil activation. It is released from several cell types in response to an inflammatory stimulus.","senescence-associated secretory phenotype","Homo sapiens","Activation profile of CXCL8-stimulated neutrophils and aging",10.1016/j.cyto.2013.01.016,hsa04218,"Cellular senescence",3576
CYCS,THC4,"Cytochrome C","Plays a role in apoptosis. Suppression of the anti-apoptotic members or activation of the pro-apoptotic members of the Bcl-2 family leads to altered mitochondrial membrane permeability resulting in release of cytochrome c into the cytosol. Binding of cytochrome c to Apaf-1 triggers the activation of caspase-9, which then accelerates apoptosis by activating other caspases.","cellular senescence","Homo sapiens","SQSTM1/p62 and PPARGC1A/PGC-1alpha at the interface of autophagy and vascular senescence",10.1080/15548627.2019.1659612,hsa04115,"p53 signaling pathway",54205
DBN1,D0S117E,"drebrin 1","DBN1 is thought to be involved in neuronal growth.","loss of proteostasis","Homo sapiens","Coordinated gene expression of neuroinflammatory and cell signaling markers in dorsolateral prefrontal cortex during human brain development and aging",10.1371/journal.pone.0110972,unknown,Unknown,1627
DCTN1,DAP-150,"Dynactin Subunit 1","DCTN1 plays a key role in dynein-mediated retrograde transport of vesicles and organelles along microtubules by recruiting and tethering dynein to microtubules. Binds to both dynein and microtubules providing a link between specific cargos, microtubules and dynein. Essential for targeting dynein to microtubule plus ends, recruiting dynein to membranous cargos and enhancing dynein processivity (the ability to move along a microtubule for a long distance without falling off the track). Can also act as a brake to slow the dynein motor during motility along the microtubule (PubMed:25185702). Can regulate microtubule stability by promoting microtubule formation, nucleation and polymerization and by inhibiting microtubule catastrophe in neurons. Inhibits microtubule catastrophe by binding both to microtubules and to tubulin, leading to enhanced microtubule stability along the axon (PubMed:23874158). Plays a role in metaphase spindle orientation (PubMed:22327364). Plays a role in centriole cohesion and subdistal appendage organization and function. Its recruitment to the centriole in a KIF3A-dependent manner is essential for the maintenance of centriole cohesion and the formation of subdistal appendage. Also required for microtubule anchoring at the mother centriole (PubMed:23386061). Plays a role in primary cilia formation.",others,"Homo sapiens","Dynactin pathway-related gene expression is altered by aging, but not by vitrification",10.1016/j.reprotox.2019.06.011,H00058,"Amyotrophic lateral sclerosis (ALS)",1639
DDIT3,"CHOP10; GADD153; CHOP","DNA-damage-inducible transcript 3","DDIT3 prevents transcription in response to DNA damage.  It also appears to be related to apoptosis.","genomic instability","Homo sapiens","Expression of the Pro-Apoptotic Gene gadd153/chop Is Elevated in Liver With Aging and Sensitizes Cells to Oxidant Injury",10.1074/jbc.M300677200,hsa04010,"MAPK signaling pathway",1649
DDX58,"RIG-I; RIG1; RIGI","DExD/H-box helicase 58","Aging compromises both the primary and secondary RIG-I signaling pathways that govern expression of type I IFN genes, thereby impairing antiviral resistance to IAV.","NF-κB related gene","Homo sapiens","Aging impairs both primary and secondary RIG-I signaling for interferon induction in human monocytes",10.1126/scisignal.aan2392,hsa04064,"NF-kappa B signaling pathway",23586
DGAT1,"Diglyceride Acyltransferase","diacylglycerol O-acyltransferase 1","Catalyzes the terminal and only committed step in triacylglycerol synthesis by using diacylglycerol and fatty acyl CoA as substrates. In contrast to DGAT2 it is not essential for survival. May be involved in VLDL (very low density lipoprotein) assembly. In liver, plays a role in esterifying exogenous fatty acids to glycerol. Functions as the major acyl-CoA retinol acyltransferase (ARAT) in the skin, where it acts to maintain retinoid homeostasis and prevent retinoid toxicity leading to skin and hair disorders.",others,"Homo sapiens","Acyl coenzyme A dependent retinol esterification by acyl coenzyme A: diacylglycerol acyltransferase 1.",10.1016/j.bbalip.2005.09.003,unknown,Unknown,8694
DLAT,"PBC; E2","dihydrolipoamide S-acetyltransferase","The pyruvate dehydrogenase complex catalyzes the overall conversion of pyruvate to acetyl-CoA and CO(2), and thereby links the glycolytic pathway to the tricarboxylic cycle.","mitochondrial dysfunction","Homo sapiens","Proteomics and metabolomics identify molecular mechanisms of aging potentially predisposing for chronic lymphocytic leukemia",10.1074/mcp.RA117.000425,unknown,Unknown,1737
DLL3,SCDO1,"delta-like 3 (Drosophila)","DLL3 has been linked to development and neurogenesis.","stem cell exhaustion","Homo sapiens","Novel Mutations in DLL3, a Somitogenesis Gene Encoding a Ligand for the Notch Signalling Pathway, Cause a Consistent Pattern of Abnormal Vertebral Segmentation in Spondylocostal Dysostosis",10.1136/jmg.40.5.333,hsa04330,"Notch signaling pathway",10683
E2F1,RBP3,"E2F transcription factor 1","Transcription activator that binds DNA cooperatively with DP proteins through the E2 recognition site, 5'-TTTC[CG]CGC-3' found in the promoter region of a number of genes whose products are involved in cell cycle regulation or in DNA replication.","genomic instability","Homo sapiens","E2F transcription factor action, regulation and possible role in human cancer",10.1046/j.1365-2184.1997.00085.x,hsa04218,"Cellular senescence",1869
EDARADD,"ECTD11B; ED3; EDA3","EDAR associated death domain","The methylation of site--in the promoters of the EDARADD genes--is linear with age over a range of five decades, which could be a model to estimate the age of a person, based on a biological sample alone.","NF-κB related gene","Homo sapiens","Epigenetic predictor of age",10.1371/journal.pone.0014821,hsa04064,"NF-kappa B signaling pathway",128178
EEF1A1,"EF1A; EEF1A; LENG7","eukaryotic translation elongation factor 1 alpha 1","EEF1A1 is involved in the binding of tRNA to ribosomes during protein synthesis. This protein promotes the GTP-dependent binding of aminoacyl-tRNA to the A-site of ribosomes during protein biosynthesis. With PARP1 and TXK, forms a complex that acts as a T helper 1 (Th1) cell-specific transcription factor and binds the promoter of IFN-gamma to directly regulate its transcription, and is thus involved importantly in Th1 cytokine production.","genomic instability","Homo sapiens","Nerve growth factor specifically stimulates translation of eukaryotic elongation factor 1A-1 (eEF1A-1) mRNA by recruitment to polyribosomes in PC12 cells",10.1074/jbc.M111782200,unknown,Unknown,1915
EEF1E1,"minoacyl TRNA Synthetase Complex-Interacting Multifunctional Protein 3","eukaryotic translation elongation factor 1 epsilon 1","Positive modulator of ATM response to DNA damage.","genomic instability","Homo sapiens","Dissection of the structural organization of the aminoacyl-tRNA synthetase complex",10.1074/jbc.M809636200,unknown,Unknown,9521
EEF2,"EEF-2; EF2","eukaryotic translation elongation factor 2","Age-dependent changes to EEF2 in rats, which could account for the decline in protein synthesis in old animals.","loss of proteostasis","Homo sapiens","Elongation factor 2 diphthamide is critical for translation of two IRES-dependent protein targets, XIAP and FGF2, under oxidative stress conditions",10.1016/j.freeradbiomed.2013.10.015,unknown,Unknown,1938
EFEMP1,"EGF Containing Fibulin Extracellular Matrix Protein 1","EGF containing fibulin-like extracellular matrix protein 1","Binds EGFR, the EGF receptor, inducing EGFR autophosphorylation and the activation of downstream signaling pathways. May play a role in cell adhesion and migration. May function as a negative regulator of chondrocyte differentiation. In the olfactory epithelium, it may regulate glial cell migration, differentiation and the ability of glial cells to support neuronal neurite outgrowth.","altered intercellular communication","Homo sapiens","EFEMP1 binds the EGF receptor and activates MAPK and Akt pathways in pancreatic carcinoma cells",https://doi.org/10.1515/BC.2009.140,unknown,Unknown,2202
EGF,"HOMG4; URG","epidermal growth factor","EGF stimulates the growth of various epidermal and epithelial tissues in vivo and in vitro and of some fibroblasts in cell culture.","cellular senescence","Homo sapiens","EGF/EGFR Upregulates and Cooperates With Netrin-4 to Protect Glioblastoma Cells From DNA Damage-Induced Senescence",10.1186/s12885-018-5056-4,hsa04010,"MAPK signaling pathway",1950
EGFR,ERBB1,"epidermal growth factor receptor","Receptor tyrosine kinase binding ligands of the EGF family and activating several signaling cascades to convert extracellular cues into appropriate cellular responses.","cellular senescence","Homo sapiens","Mechanisms of Skin Aging Induced by EGFR Inhibitors",10.1007/s00520-016-3254-7,hsa04010,"MAPK signaling pathway",1956
EGR1,"ZNF225; AT225","early growth response 1","Transcriptional regulator. Recognizes and binds to the DNA sequence 5'-GCG(T/G)GGGCG-3'(EGR-site) in the promoter region of target genes.","cellular senescence","Homo sapiens","Early Life Stress and Epigenetics in Late-onset Alzheimer's Dementia: A Systematic Review",10.2174/1389202919666171229145156,hsa04912,"GnRH signaling pathway",1958
EHMT1,"Histone H3-K9 Methyltransferase 5","histone-lysine N-methyltransferase EHMT1","Histone methyltransferase that specifically mono- and dimethylates 'Lys-9' of histone H3 (H3K9me1 and H3K9me2, respectively) in euchromatin. H3K9me represents a specific tag for epigenetic transcriptional repression by recruiting HP1 proteins to methylated histones. Also weakly methylates 'Lys-27' of histone H3 (H3K27me). Also required for DNA methylation, the histone methyltransferase activity is not required for DNA methylation, suggesting that these 2 activities function independently. Probably targeted to histone H3 by different DNA-binding proteins like E2F6, MGA, MAX and/or DP1. During G0 phase, it probably contributes to silencing of MYC- and E2F-responsive genes, suggesting a role in G0/G1 transition in cell cycle. In addition to the histone methyltransferase activity, also methylates non-histone proteins: mediates dimethylation of 'Lys-373' of p53/TP53.","epigenetic alterations","Homo sapiens","A complex with chromatin modifiers that occupies E2F- and Myc-responsive genes in G0 cells",10.1126/science.1069861,hsa04211,"Longevity regulating pathway",79813
EHMT2,"Histone-Lysine N-Methyltransferase EHMT2","euchromatic histone lysine methyltransferase 2","Histone methyltransferase that specifically mono- and dimethylates 'Lys-9' of histone H3 (H3K9me1 and H3K9me2, respectively) in euchromatin. H3K9me represents a specific tag for epigenetic transcriptional repression by recruiting HP1 proteins to methylated histones. Also mediates monomethylation of 'Lys-56' of histone H3 (H3K56me1) in G1 phase, leading to promote interaction between histone H3 and PCNA and regulating DNA replication. Also weakly methylates 'Lys-27' of histone H3 (H3K27me). Also required for DNA methylation, the histone methyltransferase activity is not required for DNA methylation, suggesting that these 2 activities function independently. Probably targeted to histone H3 by different DNA-binding proteins like E2F6, MGA, MAX and/or DP1. May also methylate histone H1. In addition to the histone methyltransferase activity, also methylates non-histone proteins: mediates dimethylation of 'Lys-373' of p53/TP53. Also methylates CDYL, WIZ, ACIN1, DNMT1, HDAC1, ERCC6, KLF12 and itself.","epigenetic alterations","Homo sapiens","The G9a gene in the human major histocompatibility complex encodes a novel protein containing ankyrin-like repeats",10.1042/bj2900811,hsa04211,"Longevity regulating pathway",10919
EIF4E,"MRNA Cap-Binding Protein","eukaryotic translation initiation factor 4E","Recognizes and binds the 7-methylguanosine-containing mRNA cap during an early step in the initiation of protein synthesis and facilitates ribosome binding by inducing the unwinding of the mRNAs secondary structures. Component of the CYFIP1-EIF4E-FMR1 complex which binds to the mRNA cap and mediates translational repression. In the CYFIP1-EIF4E-FMR1 complex this subunit mediates the binding to the mRNA cap.",others,"Homo sapiens","Translational homeostasis via the mRNA cap-binding protein, eIF4E",10.1016/j.molcel.2012.04.004,hsa04211,"Longevity regulating pathway",1977
EIF4E1B,"Eukaryotic Translation Initiation Factor 4E Family Member 1B","eukaryotic translation initiation factor 4E type 1B","Recognizes and binds the 7-methylguanosine-containing mRNA cap during an early step in the initiation of protein synthesis and facilitates ribosome binding by inducing the unwinding of the mRNAs secondary structure.",others,"Homo sapiens","Phylogenetic analysis of eIF4E-family members",10.1186/1471-2148-5-48,hsa04211,"Longevity regulating pathway",253314
EIF4E2,"MRNA Cap-Binding Protein Type 3","eukaryotic translation initiation factor 4E type 2","Recognizes and binds the 7-methylguanosine-containing mRNA cap during an early step in the initiation. Acts as a repressor of translation initiation. In contrast to EIF4E, it is unable to bind eIF4G (EIF4G1, EIF4G2 or EIF4G3), suggesting that it acts by competing with EIF4E and block assembly of eIF4F at the cap.",others,"Homo sapiens","Cloning and characterization of 4EHP, a novel mammalian eIF4E-related cap-binding protein",10.1074/jbc.273.21.13104,hsa04211,"Longevity regulating pathway",9470
EIF4EBP1,"Eukaryotic Translation Initiation Factor 4E-Binding Protein 1","eukaryotic translation initiation factor 4E-binding protein 1","Repressor of translation initiation that regulates EIF4E activity by preventing its assembly into the eIF4F complex: hypophosphorylated form competes with EIF4G1/EIF4G3 and strongly binds to EIF4E, leading to repress translation. In contrast, hyperphosphorylated form dissociates from EIF4E, allowing interaction between EIF4G1/EIF4G3 and EIF4E, leading to initiation of translation. Mediates the regulation of protein translation by hormones, growth factors and other stimuli that signal through the MAP kinase and mTORC1 pathways.",others,"Homo sapiens","Insulin-dependent stimulation of protein synthesis by phosphorylation of a regulator of 5'-cap function",10.1038/371762a0,hsa04211,"Longevity regulating pathway",1978
EIF5A2,"Eukaryotic Initiation Factor 5A","eukaryotic translation initiation factor 5A2","mRNA-binding protein involved in translation elongation. Has an important function at the level of mRNA turnover, probably acting downstream of decapping. Involved in actin dynamics and cell cycle progression, mRNA decay and probably in a pathway involved in stress response and maintenance of cell wall integrity. Functions as a regulator of apoptosis. Mediates effects of polyamines on neuronal process extension and survival. May play an important role in brain development and function, and in skeletal muscle stem cell differentiation.","loss of proteostasis","Homo sapiens","Identification and characterization of eukaryotic initiation factor 5A-2",10.1046/j.1432-1033.2003.03806.x,unknown,Unknown,56648
ELN,"WBS; WS; SVAS",elastin,"ELN is structural protein that may be related to arterial morphogenesis.","altered intercellular communication","Homo sapiens","Multisystem Study of 20 Older Adults With Williams Syndrome",10.1002/ajmg.a.30400,hsa04151,"PI3K-Akt signaling pathway",2006
EMD,"STA; LEMD5",emerin,"The functions of EMD in the nuclear lamina may indicate a role for EMD in ageing and have roles in chromatin organization, gene regulation and signal transduction.",others,"Homo sapiens","The Nuclear Lamina Comes of Age",10.1038/nrm1550,unknown,Unknown,2010
ENO1,"ENO1L1; HEL-S-17","enolase 1","Glycolytic enzyme the catalyzes the conversion of 2-phosphoglycerate to phosphoenolpyruvate. In addition to glycolysis, involved in various processes such as growth control, hypoxia tolerance and allergic responses.",others,"Homo sapiens","Alcohol drinking exacerbates neural and behavioral pathology in the 3xTg-AD mouse model of Alzheimer's disease",10.1016/bs.irn.2019.10.017,hsa04066,"HIF-1 signaling pathway",2023
ENO2,"HEL-S-279; NSE","enolase 2","Has neurotrophic and neuroprotective properties on a broad spectrum of central nervous system (CNS) neurons.",others,"Homo sapiens","Alcohol drinking exacerbates neural and behavioral pathology in the 3xTg-AD mouse model of Alzheimer's disease",10.1016/bs.irn.2019.10.017,hsa04066,"HIF-1 signaling pathway",2026
EP300,"p300; KAT3B","E1A binding protein p300","EP300 mediates many transcriptional events including DNA repair.EP300 has been associated with several other proteins that may be involved in ageing, such as WRN.","genomic instability","Homo sapiens","DNA Damage-Induced Translocation of the Werner Helicase Is Regulated by Acetylation",10.1074/jbc.M210479200,hsa04935,"Growth hormone synthesis, secretion and action",2033
EPOR,EPO-R,"erythropoietin receptor","Receptor for erythropoietin. Mediates erythropoietin-induced erythroblast proliferation and differentiation. Upon EPO stimulation, EPOR dimerizes triggering the JAK2/STAT5 signaling cascade.","cellular senescence","Homo sapiens","Erythropoietin Signaling Increases Choroidal Macrophages and Cytokine Expression, and Exacerbates Choroidal Neovascularization",10.1038/s41598-018-20520-z,hsa04630,"JAK-STAT signaling pathway",2057
