Symbol,Alias,Description,Function,Gene_Set,Species,Literature_Name,Literature_Link,KEGG_ID,KEGG_Name,Gene_ID
PCNA,"Proliferating Cell Nuclear Antigen; Cyclin; ATLD2","proliferating cell nuclear antigen","PCNA is an important player in DNA replication and, probably, in DNA repair, and it interacts with WRN.","genomic instability","Homo sapiens","Hypomorphic PCNA mutation underlies a human DNA repair disorder",10.1172/JCI74593,hsa04110,"Cell cycle",5111
PDGFB,"PDGF2; SIS","platelet-derived growth factor beta polypeptide","It is a growth factor that plays an essential role in the regulation of embryonic development, cell proliferation, cell migration, survival and chemotaxis.","cellular senescence","Homo sapiens","Platelet-derived Growth Factor B Induces Senescence and Transformation in Normal Human Fibroblasts",10.18632/aging.100577,hsa04010,"MAPK signaling pathway",5155
PDGFRA,"Platelet-Derived Growth Factor Receptor Alpha","platelet-derived growth factor receptor, alpha polypeptide","Tyrosine-protein kinase that acts as a cell-surface receptor for PDGFA, PDGFB and PDGFC and plays an essential role in the regulation of embryonic development, cell proliferation, survival and chemotaxis. Depending on the context, promotes or inhibits cell proliferation and cell migration. It plays an important role in the differentiation of bone marrow-derived mesenchymal stem cells. It is required for normal skeleton development and cephalic closure during embryonic development. Required for normal development of the mucosa lining the gastrointestinal tract, and for recruitment of mesenchymal cells and normal development of intestinal villi.","altered intercellular communication","Homo sapiens","Independent expression of human alpha or beta platelet-derived growth factor receptor cDNAs in a naive hematopoietic cell leads to functional coupling with mitogenic and chemotactic signaling pathways",10.1073/pnas.86.21.8314,hsa04010,"MAPK signaling pathway",5156
PDGFRB,CD140B,"platelet-derived growth factor receptor, beta polypeptide","PDGFRB is a tyrosine-protein kinase that acts as cell-surface receptor for homodimeric PDGFB and PDGFD and for heterodimers formed by PDGFA and PDGFB, and plays an essential role in the regulation of embryonic development, cell proliferation, survival, differentiation, chemotaxis and migration.",others,"Homo sapiens","Premature Aging Syndrome, Penttinen Type: Report of a Chinese Case With a PDGFRB Mutation",10.2340/00015555-2993,hsa04010,"MAPK signaling pathway",5159
PDPK1,PDK1,"3-phosphoinositide dependent protein kinase 1","PDK1 functions as a master kinase, phosphorylating and activating PKB/Akt, S6K and RSK. PDK1 is essential for embryonic development, and regulates cell size independently of cell number or proliferation, as well as insulin's ability to activate PKB, S6K and RSK.",others,"Homo sapiens","PPARβ/δ promotes HRAS-induced senescence and tumor suppression by potentiating p-ERK and repressing p-AKT signaling",10.1038/onc.2013.477,hsa04910,"Insulin signaling pathway",5170
PECAM1,"CD31 Antigen","Platelet And Endothelial Cell Adhesion Molecule 1","Cell adhesion molecule which is required for leukocyte transendothelial migration (TEM) under most inflammatory conditions (PubMed:19342684, PubMed:17580308). Tyr-690 plays a critical role in TEM and is required for efficient trafficking of PECAM1 to and from the lateral border recycling compartment (LBRC) and is also essential for the LBRC membrane to be targeted around migrating leukocytes (PubMed:19342684). Trans-homophilic interaction may play a role in endothelial cell-cell adhesion via cell junctions (PubMed:27958302). Heterophilic interaction with CD177 plays a role in transendothelial migration of neutrophils (PubMed:17580308). Homophilic ligation of PECAM1 prevents macrophage-mediated phagocytosis of neighboring viable leukocytes by transmitting a detachment signal (PubMed:12110892). Promotes macrophage-mediated phagocytosis of apoptotic leukocytes by tethering them to the phagocytic cells; PECAM1-mediated detachment signal appears to be disabled in apoptotic leukocytes (PubMed:12110892). Modulates bradykinin receptor BDKRB2 activation (PubMed:18672896). Regulates bradykinin- and hyperosmotic shock-induced ERK1/2 activation in endothelial cells (PubMed:18672896). Induces susceptibility to atherosclerosis (By similarity).","senescence-associated secretory phenotype","Homo sapiens","SIRT7 deficiency suppresses inflammation, induces EndoMT, and increases vascular permeability in primary pulmonary endothelial cells",10.1038/s41598-020-69236-z,hsa04514,"Cell adhesion molecules",5175
PEX5,"Peroxisomal Targeting Signal 1 Receptor","PEX5-related protein","PEX5 is an accessory subunit of hyperpolarization-activated cyclic nucleotide-gated (HCN) channels, regulating their cell-surface expression and cyclic nucleotide dependence.",others,"Homo sapiens","Peroxisomal targeting signal-1 recognition by the TPR domains of human PEX5",10.1038/81930,unknown,Unknown,5830
PIAS4,PIASY,"Protein Inhibitor Of Activated STAT 4","Functions as an E3-type small ubiquitin-like modifier (SUMO) ligase, stabilizing the interaction between UBE2I and the substrate, and as a SUMO-tethering factor. Plays a crucial role as a transcriptional coregulation in various cellular pathways, including the STAT pathway, the p53/TP53 pathway, the Wnt pathway and the steroid hormone signaling pathway. Involved in gene silencing. Mediates sumoylation of CEBPA, PARK7, HERC2, MYB, TCF4 and RNF168. In Wnt signaling, represses LEF1 and enhances TCF4 transcriptional activities through promoting their sumoylations. Enhances the sumoylation of MTA1 and may participate in its paralog-selective sumoylation.","NF-κB related gene","Homo sapiens","Regulation of Stress-Inducible Phosphoprotein 1 Nuclear Retention by Protein Inhibitor of Activated STAT PIAS1",10.1074/mcp.M113.031005,hsa04064,"NF-kappa B signaling pathway",51588
PIDD1,LRDD,"P53-Induced Death Domain Protein 1","Component of the DNA damage/stress response pathway that functions downstream of p53/TP53 and can either promote cell survival or apoptosis (PubMed:10973264, PubMed:15073321, PubMed:16360037, PubMed:17159900). Associated with CRADD and the CASP2 caspase, it forms the PIDDosome a complex that activates CASP2 and triggers apoptosis (PubMed:15073321, PubMed:17159900). Associated with IKBKG and RIPK1, it enhances sumoylation and ubiquitination of IKBKG which is important for activation of the transcription factor NF-kappa-B (PubMed:16360037, PubMed:17159900).","NF-κB related gene","Homo sapiens","The PIDDosome activates p53 in response to supernumerary centrosomes",10.1101/gad.289728.116,hsa04064,"NF-kappa B signaling pathway",55367
PIGF,"GPI11 Homolog","Phosphatidylinositol Glycan Anchor Biosynthesis Class F","Involved in GPI-anchor biosynthesis through the transfer of ethanolamine phosphate to the third mannose of GPI.",others,"Homo sapiens","Hierarchical Clustering Analyses of Plasma Proteins in Subjects With Cardiovascular Risk Factors Identify Informative Subsets Based on Differential Levels of Angiogenic and Inflammatory Biomarkers",10.3389/fnins.2020.00084,hsa00563,"Glycosylphosphatidylinositol (GPI)-anchor biosynthesis",5281
PIK3CA,"Serine/Threonine Protein Kinase PIK3CA","phosphatidylinositol-4,5-bisphosphate 3-kinase, catalytic subunit alpha","Phosphoinositide-3-kinase (PI3K) that phosphorylates PtdIns (Phosphatidylinositol), PtdIns4P (Phosphatidylinositol 4-phosphate) and PtdIns(4,5)P2 (Phosphatidylinositol 4,5-bisphosphate) to generate phosphatidylinositol 3,4,5-trisphosphate (PIP3). PIP3 plays a key role by recruiting PH domain-containing proteins to the membrane, including AKT1 and PDPK1, activating signaling cascades involved in cell growth, survival, proliferation, motility and morphology. It participates in cellular signaling in response to various growth factors. It is involved in the activation of AKT1 upon stimulation by receptor tyrosine kinases ligands such as EGF, insulin, IGF1, VEGFA and PDGF.","altered intercellular communication","Homo sapiens","Phosphoinositide 3-kinase signaling pathway mediated by p110{alpha} regulates invadopodia formation",10.1083/jcb.201009126,hsa04211,"Longevity regulating pathway",5290
PIK3CB,PIK3C1,"phosphatidylinositol-4,5-bisphosphate 3-kinase, catalytic subunit beta","PIK3CB is a phosphoinositide-3-kinase (PI3K) that phosphorylates PtdIns (Phosphatidylinositol), PtdIns4P (Phosphatidylinositol 4-phosphate) and PtdIns(4,5)P2 (Phosphatidylinositol 4,5-bisphosphate) to generate phosphatidylinositol 3,4,5-trisphosphate (PIP3). PIP3 plays a key role by recruiting PH domain-containing proteins to the membrane, including AKT1 and PDPK1, activating signaling cascades involved in cell growth, survival, proliferation, motility and morphology.","cellular senescence","Homo sapiens","Coordinated Expression of Phosphoinositide Metabolic Genes During Development and Aging of Human Dorsolateral Prefrontal Cortex",10.1371/journal.pone.0132675,hsa04211,"Longevity regulating pathway",5291
PIK3CD,"Phosphoinositide-3-Kinase C","Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit delta isoform","Phosphoinositide-3-kinase (PI3K) that phosphorylates PtdIns(4,5)P2 (Phosphatidylinositol 4,5-bisphosphate) to generate phosphatidylinositol 3,4,5-trisphosphate (PIP3). PIP3 plays a key role by recruiting PH domain-containing proteins to the membrane, including AKT1 and PDPK1, activating signaling cascades involved in cell growth, survival, proliferation, motility and morphology. Mediates immune responses. It plays a role in B-cell development, proliferation, migration, and function. It is required for B-cell receptor (BCR) signaling.","altered intercellular communication","Homo sapiens","p37delta is a new isoform of PI3K p110delta that increases cell proliferation and is overexpressed in tumors",10.1038/onc.2011.492,hsa04211,"Longevity regulating pathway",5293
PIK3R1,"GRB1; p85-ALPHA; p85","phosphoinositide-3-kinase, regulatory subunit 1 (alpha)","Together with?PIK3CB, PIK3R1 is involved in insulin (INS) signalling and energy metabolism.","mitochondrial dysfunction","Homo sapiens","CircRNA AFF4 promotes osteoblast cells proliferation and inhibits apoptosis via the Mir-7223-5p/PIK3R1 axis",10.18632/aging.102524,hsa04211,"Longevity regulating pathway",5295
PIK3R2,"PtdIns-3-Kinase Regulatory Subunit P85-Beta","Phosphatidylinositol 3-kinase regulatory subunit beta","Regulatory subunit of phosphoinositide-3-kinase (PI3K), a kinase that phosphorylates PtdIns(4,5)P2 (Phosphatidylinositol 4,5-bisphosphate) to generate phosphatidylinositol 3,4,5-trisphosphate (PIP3). PIP3 plays a key role by recruiting PH domain-containing proteins to the membrane, including AKT1 and PDPK1, activating signaling cascades involved in cell growth, survival, proliferation, motility and morphology. Binds to activated (phosphorylated) protein-tyrosine kinases, through its SH2 domain, and acts as an adapter, mediating the association of the p110 catalytic unit to the plasma membrane. Indirectly regulates autophagy. Promotes nuclear translocation of XBP1 isoform 2 in a ER stress- and/or insulin-dependent manner during metabolic overloading in the liver and hence plays a role in glucose tolerance improvement.","altered intercellular communication","Homo sapiens","FBXL2- and PTPL1-mediated degradation of p110-free p85beta regulatory subunit controls the PI(3)K signalling cascade",10.1038/ncb2731,hsa04211,"Longevity regulating pathway",5296
PIK3R3,"PtdIns-3-Kinase Regulatory Subunit P55-Gamma","Phosphatidylinositol 3-kinase regulatory subunit gamma","PIK3R3 binds to activated (phosphorylated) protein-tyrosine kinases through its SH2 domain and regulates their kinase activity. During insulin stimulation, it also binds to IRS-1.","altered intercellular communication","Homo sapiens","Cloning of human p55 gamma, a regulatory subunit of phosphatidylinositol 3-kinase, by a yeast two-hybrid library screen with the insulin-like growth factor-I receptor",10.1016/s0378-1119(98)00045-6,hsa04211,"Longevity regulating pathway",8503
PIN1,"UBL5; DOD","peptidylprolyl cis/trans isomerase, NIMA-interacting 1","Peptidyl-prolyl cis/trans isomerase (PPIase) binds to and isomerizes specific phosphorylated Ser/Thr-Pro (pSer/Thr-Pro) motifs. By inducing conformational changes in a subset of phosphorylated proteins, it acts as a molecular switch in multiple cellular processes.","cellular senescence","Homo sapiens","The Role of Pin1 Protein in Aging of Human Tendon stem/progenitor Cells",10.1016/j.bbrc.2015.06.163,unknown,Unknown,5300
PLAU,"UPA; ATF","plasminogen activator, urokinase","PLAU specifically cleaves the zymogen plasminogen to form the active enzyme plasmin.",others,"Homo sapiens","Functional Networks of Aging Markers in the Glomeruli of IgA Nephropathy: A New Therapeutic Opportunity",10.18632/oncotarget.9033,hsa04064,"NF-kappa B signaling pathway",5328
PLAUR,UPAR,"Plasminogen Activator, Urokinase Receptor","Acts as a receptor for urokinase plasminogen activator. Plays a role in localizing and promoting plasmin formation. Mediates the proteolysis-independent signal transduction activation effects of U-PA. It is subject to negative-feedback regulation by U-PA which cleaves it into an inactive form.",others,"Homo sapiens","Urokinase-type plasminogen activator receptor is associated with the development of adipose tissue",10.1160/TH10-02-0101,hsa04610,"Complement and coagulation cascades",5329
PLCG1,PLC-Gamma-1,"Phospholipase C Gamma 1","Mediates the production of the second messenger molecules diacylglycerol (DAG) and inositol 1,4,5-trisphosphate (IP3). Plays an important role in the regulation of intracellular signaling cascades. Becomes activated in response to ligand-mediated activation of receptor-type tyrosine kinases, such as PDGFRA, PDGFRB, FGFR1, FGFR2, FGFR3 and FGFR4. Plays a role in actin reorganization and cell migration.","NF-κB related gene","Homo sapiens","Forebrain-specific ablation of phospholipase Cγ1 causes manic-like behavior",10.1038/mp.2016.261,hsa04064,"NF-kappa B signaling pathway",5335
PLCG2,"APLAID; FCAS","phospholipase C, gamma 2 (phosphatidylinositol-specific)","The production of the second messenger molecules diacylglycerol (DAG) and inositol 1,4,5-trisphosphate (IP3) is mediated by activated phosphatidylinositol-specific phospholipase C enzymes. It is a crucial enzyme in transmembrane signaling.",others,"Homo sapiens","Correction To: A Nonsynonymous Mutation in PLCG2 Reduces the Risk of Alzheimer's Disease, Dementia With Lewy Bodies and Frontotemporal Dementia, and Increases the Likelihood of Longevity",10.1007/s00401-019-02107-8,hsa04935,"Growth hormone synthesis, secretion and action",5336
PMCH,Pro-MCH,"pro-melanin-concentrating hormone","MCH may act as a neurotransmitter or neuromodulator in a broad array of neuronal functions directed toward the regulation of goal-directed behavior, such as food intake, and general arousal. May also have a role in spermatocyte differentiation.",others,"Homo sapiens","Melanin-concentrating hormone functions in the nervous system: food intake and stress",https://doi.org/10.1517/14728222.7.4.495,unknown,Unknown,5367
PML,"MYL; TRIM19; RNF71","promyelocytic leukemia","PML also appears to control cell proliferation and cellular senescence. PML IV-induced senescence involves stabilization and activation of p53.","cellular senescence","Homo sapiens","Deconstructing PML-induced Premature Senescence",10.1093/emboj/cdf341,unknown,Unknown,5371
POLA1,"p180; POLA; NSX","polymerase (DNA directed), alpha 1, catalytic subunit","POLA1 is involved in DNA replication.","genomic instability","Homo sapiens","Age-related Changes in the Induction of DNA Polymerases in Rat Liver by Gamma-Ray Irradiation",10.1016/s0047-6374(02)00119-7,unknown,Unknown,5422
POLB,"DNA Polymerase Beta Subunit; DNA Pol Beta","polymerase (DNA directed), beta","POLB is a repair polymerase that plays a key role in base-excision repair. Has 5'-deoxyribose-5-phosphate lyase (dRP lyase) activity that removes the 5' sugar phosphate and also acts as a DNA polymerase that adds one nucleotide to the 3' end of the arising single-nucleotide gap. Conducts 'gap-filling' DNA synthesis in a stepwise distributive fashion rather than in a processive fashion as for other DNA polymerases.","genomic instability","Homo sapiens","Structure and Mechanism of DNA Polymerase β",10.1021/bi500139h,unknown,Unknown,5423
POLD1,"CDC2; POLD","polymerase (DNA directed), delta 1, catalytic subunit","POLD1 is mostly involved in DNA synthesis.","genomic instability","Homo sapiens","Interactions Between the Werner Syndrome Helicase and DNA Polymerase Delta Specifically Facilitate Copying of Tetraplex and Hairpin Structures of the d(CGG)n Trinucleotide Repeat Sequence",10.1074/jbc.M100253200,unknown,Unknown,5424
POLG,"MDP1; PEO","polymerase (DNA directed), gamma","POLG is involved in the replication of mitochondrial DNA. It associates with mitochondrial DNA.","mitochondrial dysfunction","Homo sapiens","DNA polymerase gamma in mitochondrial DNA replication and repair",10.1100/tsw.2003.09,unknown,Unknown,5428
PON1,"ESA; PON","paraoxonase 1","PON1 hydrolyzes toxic compounds and is associated with neurodegenerative diseases.",others,"Homo sapiens","Genetic Polymorphism of Paraoxonase 1 (PON1) and Susceptibility to Parkinson's Disease",10.1016/s0006-8993(98)00586-1,unknown,Unknown,5444
POU1F1,"PIT1; GHF1","POU class 1 homeobox 1","POU1F1 is a transcription factor involved in the specification of the lactotrope, somatotrope, and thyrotrope phenotypes in the developing anterior pituitary.","loss of proteostasis","Homo sapiens","PIT1 abnormality",10.1016/s1096-6374(99)80076-8,hsa04935,"Growth hormone synthesis, secretion and action",5449
PPARA,NR1C1,"peroxisome proliferator-activated receptor alpha","PPARA is a ligand-activated transcription factor and a key regulator of lipid metabolism.",others,"Homo sapiens","Roles of PPARs in health and disease",10.1038/35013000,unknown,Unknown,5465
PPARG,"Nuclear Receptor Subfamily 1 Group C Member 3","peroxisome proliferator-activated receptor gamma","Once activated by a ligand, the nuclear receptor binds to DNA specific PPAR response elements (PPRE) and modulates the transcription of its target genes, such as acyl-CoA oxidase. It therefore controls the peroxisomal beta-oxidation pathway of fatty acids. It is a key regulator of adipocyte differentiation and glucose homeostasis.","deregulated nutrient sensing","Homo sapiens","Mycobacterium tuberculosis 19-kDa lipoprotein induces Toll-like receptor 2-dependent peroxisome proliferator-activated receptor gamma expression and promotes inflammatory responses in human macrophages",10.3892/mmr.2014.3070,hsa04211,"Longevity regulating pathway",5468
PPARGC1A,"PPARG Coactivator 1 Alpha","peroxisome proliferator-activated receptor gamma, coactivator 1 alpha","Transcriptional coactivator for steroid receptors and nuclear receptors. It greatly increases the transcriptional activity of PPARG and thyroid hormone receptor on the uncoupling protein promoter. It can regulate key mitochondrial genes that contribute to the program of adaptive thermogenesis. It plays an essential role in metabolic reprogramming in response to dietary availability through coordination of the expression of a wide array of genes involved in glucose and fatty acid metabolism.","altered intercellular communication","Homo sapiens","A tissue-specific coactivator of steroid receptors, identified in a functional genetic screen",10.1128/mcb.20.7.2411-2422.2000,hsa04211,"Longevity regulating pathway",10891
PPM1D,"Protein Phosphatase 1D Magnesium-Dependent; Delta Isoform","protein phosphatase, Mg2+/Mn2+ dependent, 1D","It is required for the relief of p53-dependent checkpoint mediated cell cycle arrest. It binds to and dephosphorylates 'Ser-15' of TP53 and 'Ser-345' of CHEK1 which contributes to the functional inactivation of these proteins. It is also an important regulator of global heterochromatin silencing and critical in maintaining genome integrity.","genomic instability","Homo sapiens","PPM1D Dephosphorylates Chk1 and p53 and Abrogates Cell Cycle Checkpoints",10.1101/gad.1291305,hsa04115,"p53 signaling pathway",8493
PPP1CA,"PP1A; PP-1A; PP1alpha","protein phosphatase 1, catalytic subunit, alpha isozyme","It is involved in different cellular processes including cell division, protein synthesis, and synaptic plasticity.","loss of proteostasis","Homo sapiens","Protein Phosphatase 1 Is a Molecular Constraint on Learning and Memory",10.1038/nature00928,hsa04910,"Insulin signaling pathway",5499
PRDX1,"NKEFA; PAGA","peroxiredoxin 1","Prdx1 is an important defence against oxidants in ageing mice. Prdx1-deficient fibroblasts show decreased proliferation and increased sensitivity to oxidative DNA damage.",others,"Homo sapiens","PRDX1 and MTH1 cooperate to prevent ROS-mediated inhibition of telomerase",10.1101/gad.313460.118,unknown,Unknown,5052
PRKAA1,"AMPK Subunit Alpha-1","5'-AMP-activated protein kinase catalytic subunit alpha-1","Catalytic subunit of AMP-activated protein kinase (AMPK), an energy sensor protein kinase that plays a key role in regulating cellular energy metabolism. In response to reduction of intracellular ATP levels, AMPK activates energy-producing pathways and inhibits energy-consuming processes: inhibits protein, carbohydrate and lipid biosynthesis, as well as cell growth and proliferation. AMPK acts via direct phosphorylation of metabolic enzymes, and by longer-term effects via phosphorylation of transcription regulators.","deregulated nutrient sensing","Homo sapiens","The energy sensor AMP-activated protein kinase directly regulates the mammalian FOXO3 transcription factor",10.1074/jbc.M705325200,hsa04211,"Longevity regulating pathway",5562
PRKAA2,"AMPK Subunit Alpha-2","5'-AMP-activated protein kinase catalytic subunit alpha-2","Catalytic subunit of AMP-activated protein kinase (AMPK), an energy sensor protein kinase that plays a key role in regulating cellular energy metabolism. In response to reduction of intracellular ATP levels, AMPK activates energy-producing pathways and inhibits energy-consuming processes: inhibits protein, carbohydrate and lipid biosynthesis, as well as cell growth and proliferation. AMPK acts via direct phosphorylation of metabolic enzymes, and by longer-term effects via phosphorylation of transcription regulators.","deregulated nutrient sensing","Homo sapiens","The energy sensor AMP-activated protein kinase directly regulates the mammalian FOXO4 transcription factor",10.1074/jbc.M705325201,hsa04211,"Longevity regulating pathway",5563
PRKAB1,"AMPK Subunit Beta-1","5'-AMP-activated protein kinase subunit beta-1","Non-catalytic subunit of AMP-activated protein kinase (AMPK), an energy sensor protein kinase that plays a key role in regulating cellular energy metabolism. In response to reduction of intracellular ATP levels, AMPK activates energy-producing pathways and inhibits energy-consuming processes: inhibits protein, carbohydrate and lipid biosynthesis, as well as cell growth and proliferation. AMPK acts via direct phosphorylation of metabolic enzymes, and by longer-term effects via phosphorylation of transcription regulators.",others,"Homo sapiens","Non-catalytic beta and gamma subunits isoforms of the AMP-activated protein kinase",10.1074/jbc.271.15.8675,hsa04211,"Longevity regulating pathway",5564
