GI number	Uniprot	log2FoldChange	Anova p-value	Description
17737731	M9PG76	-0.456577621582144	0.05	ribosomal protein LP0, isoform A [Drosophila melanogaster]
17737731	P19889	-0.456577621582144	0.05	ribosomal protein LP0, isoform A [Drosophila melanogaster]
1794137	P91891	0.412452593744075	0.22	DMO25 [Drosophila melanogaster]
17737741	Q9VNT5	-0.454417032285601	0.05	thioredoxin reductase 2 [Drosophila melanogaster]
17137450	M9PG62	-0.441705449740924	0.04	regulatory particle non-ATPase 3, isoform A [Drosophila melanogaster]
17137450	P25161	-0.441705449740924	0.04	regulatory particle non-ATPase 3, isoform A [Drosophila melanogaster]
20130301	Q9W1N3	-0.440748755381669	0.03	levy [Drosophila melanogaster]
24586400	E1JGZ9	-0.43784738218693	0.03	proteasome alpha1 subunit, isoform A [Drosophila melanogaster]
24586400	Q9XZJ4	-0.43784738218693	0.03	proteasome alpha1 subunit, isoform A [Drosophila melanogaster]
2286211	O18358	0.226965151126272	0.54	putative ARF1 GTPase activating protein [Drosophila melanogaster]
2313043	O18337	0.109229069754758	0.84	rab-related protein 4 [Drosophila melanogaster]
28574889	Q95RI5	0.441509710640035	0.03	failed axon connections, isoform A [Drosophila melanogaster]
2411487	O18373	0.131789872555541	0.88	selenophosphate synthetase [Drosophila melanogaster]
386769685	D4G7B1	0.442173629216358	0.00472	imaginal disc growth factor 2, isoform C [Drosophila melanogaster]
2625056	O17444	0.301169534720565	0.54	vesicular acetylcholine transporter [Drosophila melanogaster]
2708648	O44425	1.76240751600363	0.00264	antigen 5-related protein [Drosophila melanogaster]
18079297	Q9W330	0.432315490710679	0.00929	hexokinase A, isoform A [Drosophila melanogaster]
2827169	O44386	0.986029541938634	0.33	integrin alpha subunit [Drosophila melanogaster]
2827495	O46068	-0.401516359625225	0.35	EG:25E8.2 [Drosophila melanogaster]
2935517	O61540	-0.0906983102917373	0.75	methionine aminopeptidase [Drosophila melanogaster]
2950374	O46036	-0.511899038531433	0.04	C-terminal binding protein [Drosophila melanogaster]
24649832	Q9VC18	0.433510159350323	0.000445	CG11089, isoform A [Drosophila melanogaster]
3004661	P54353	0.261161991501023	0.58	dodo [Drosophila melanogaster]
3046718	Q9V463	-0.795269015392464	0.17	Nup154 [Drosophila melanogaster]
3065729	Q9VWA1	-0.199308808223407	0.69	clathrin light chain [Drosophila melanogaster]
17136400	M9NES0	0.42157293532879	0.00102	arrestin 1, isoform A [Drosophila melanogaster]
17136400	P15372	0.42157293532879	0.00102	arrestin 1, isoform A [Drosophila melanogaster]
21357229	Q9V436	0.425214339613355	0.02	regulatory particle non-ATPase 12 [Drosophila melanogaster]
3319334	Q9V9S8	-0.00469169532472202	0.96	ferrochelatase [Drosophila melanogaster]
21483306	Q8MR56	-0.42701014094492	0.01	GH18178p [Drosophila melanogaster]
24650747	P09180	-0.418404350377242	0.03	ribosomal protein L4 [Drosophila melanogaster]
3342458	O76511	-0.823450608246436	0.21	thymidylate synthase [Drosophila melanogaster]
17136792	Q9VKE2	0.409346387200988	0.01	crystallin [Drosophila melanogaster]
20129563	Q9VJJ0	0.412573459327363	0.01	CG17331, isoform A [Drosophila melanogaster]
24583992	M9PD18	0.418312631311705	0.05	vacuolar H[+] ATPase subunit 68-1, isoform A [Drosophila melanogaster]
24583992	P48602	0.418312631311705	0.05	vacuolar H[+] ATPase subunit 68-1, isoform A [Drosophila melanogaster]
385719252	I1WYH4	0.408723725346642	0.00193	RH19138p1 [Drosophila melanogaster]
3694982	Q9VW60	0.1410923192346	0.66	adenylyl cyclase 76E [Drosophila melanogaster]
24645179	Q9VHL2	-0.406229041661585	0.00731	Tcp-1eta [Drosophila melanogaster]
3953609	Q9V461	-0.521860803814667	0.39	MCM6 [Drosophila melanogaster]
10765475	Q9GNE4	0.391146879070823	0.04	hexokinase-C [Drosophila melanogaster]
4101730	Q9VE62	0.108403592618513	0.63	Ste20-like protein kinase [Drosophila melanogaster]
19922532	A1ZB71	-0.384917510902508	0.04	glutathione S transferase E6 [Drosophila melanogaster]
4165193	O96739	-0.792557920129524	0.44	Gag protein [Drosophila melanogaster]
4377460	O18397	0.231873474347333	0.6	oxysterol binding protein homologue [Drosophila melanogaster]
24584673	Q9V3J1	0.386058432307078	0.03	vacuolar H[+]-ATPase SFD subunit, isoform B [Drosophila melanogaster]
24586460	Q7JV23	0.390234108278271	0.03	Acetyl-CoA carboxylase, isoform B [Drosophila melanogaster]
24653003	A1Z8Y3	0.397876948120661	0.02	cuticular protein 49Ab [Drosophila melanogaster]
4584569	Q9UB78	-0.312590230308026	0.27	importin alpha-3 [Drosophila melanogaster]
4704760	Q9VVX5	Inf	0.14	putative transmembrane protein nessy [Drosophila melanogaster]
4732105	Q8SYG2	0.00594926633118653	0.97	COP9 signalosome subunit 3 CSN3 [Drosophila melanogaster]
17862964	Q8T9D5	-0.360294534684412	0.05	SD05601p [Drosophila melanogaster]
4877972	Q9VIW3	0.11887739585192	0.8	RanGAP [Drosophila melanogaster]
4928709	Q9XZE0	-0.220666709359283	0.31	DHR23 [Drosophila melanogaster]
5052612	Q9Y111	0.555962628998604	0.1	BcDNA.GH10646 [Drosophila melanogaster]
19920676	Q9Y119	0.372477037050798	0.0098	Trehalose-6-phosphate synthase 1 [Drosophila melanogaster]
5457112	P40793	0.992916599185462	0.15	CDC42 protein [Drosophila melanogaster]
5678951	Q9NF72	0.49235169242983	0.32	EG:BACR7A4.9 [Drosophila melanogaster]
5726645	Q9U9B0	0.590089749330921	0.3	gigas protein [Drosophila melanogaster]
28574063	Q86BM5	0.364594559690099	0.03	A kinase anchor protein 200, isoform D [Drosophila melanogaster]
5835240	NA	-0.0897099381326257	0.64	NADH dehydrogenase subunit 3 (mitochondrion) [Drosophila melanogaster]
5835243	NA	-0.137503523749935	1	NADH dehydrogenase subunit 4L (mitochondrion) [Drosophila melanogaster]
5835245	NA	0.312804957012183	0.57	cytochrome b (mitochondrion) [Drosophila melanogaster]
5901826	Q9U4G9	-0.0538668719787358	0.74	BcDNA.GH06717 [Drosophila melanogaster]
1141790	Q99323	-0.360294534684412	0.04	nonmuscle myosin-II heavy chain [Drosophila melanogaster]
17137152	P50887	-0.354331810758603	0.02	ribosomal protein L22 [Drosophila melanogaster]
6006703	Q9U8D0	0.519751087911109	0.45	protoporphyrinogen oxidase [Drosophila melanogaster]
6006748	Q9V948	-0.0890050060587449	0.77	hnRNP K protein homolog [Drosophila melanogaster]
24581010	A4UZZ4	0.35267161831847	0.02	glycogen phosphorylase, isoform A [Drosophila melanogaster]
24581010	Q9XTL9	0.35267161831847	0.02	glycogen phosphorylase, isoform A [Drosophila melanogaster]
6468017	Q9U617	0.0732489820306385	0.6	pericardine [Drosophila melanogaster]
330864889	F3YDM3	0.358191638874134	0.04	RH18256p [Drosophila melanogaster]
6517192	Q9U5D5	0.341556901636295	0.02	Drab2 [Drosophila melanogaster]
6572149	Q9U1I5	0.296767672060226	0.33	serine protease inhibitor (serpin-4) [Drosophila melanogaster]
6636407	Q9U4L6	-0.215114856624661	0.28	membrane import protein [Drosophila melanogaster]
6646844	Q9U1H6	0.433209728382391	0.27	Importin-alpha1 [Drosophila melanogaster]
6690786	NA	0.592999819786574	0.87	Short stop/Kakapo truncated isoform [Drosophila melanogaster]
6694274	Q7KJV6	0.529573930854624	0.47	ubiquitin-like protein activating enzyme [Drosophila melanogaster]
17530823	Q9W3Z3	0.350907161859128	0.02	serine pyruvate aminotransferase [Drosophila melanogaster]
6715438	Q9NHX7	0.0423108048579642	0.88	20S proteasome beta5 subunit [Drosophila melanogaster]
17981717	P17336	0.341307110745472	0.03	catalase [Drosophila melanogaster]
24640423	Q9W3N9	0.349839233371066	0.04	CG10932 [Drosophila melanogaster]
6735406	Q9NFT2	-0.619727918881833	0.03	fatty acid desaturase [Drosophila melanogaster]
62471820	Q59E58	-0.339974550304816	0.04	zipper, isoform C [Drosophila melanogaster]
6946672	Q9NEF8	-0.227780940331809	0.92	EG:BACR25B3.2 [Drosophila melanogaster]
6984182	Q9NHA5	-0.652919884821631	0.06	arginase, partial [Drosophila melanogaster]
7021482	Q9NHD7	-0.327041018281015	0.57	secretory carrier membrane protein [Drosophila melanogaster]
320542608	NA	0.349563661801562	0.05	fau, isoform E [Drosophila melanogaster]
320544548	M9MRD6	0.339692374363202	0.03	Muscle-specific protein 300, isoform I [Drosophila melanogaster]
7211777	Q9NH01	-0.697152646678342	0.05	DID [Drosophila melanogaster]
15292509	Q960E6	0.336283387864432	0.01	SD04748p [Drosophila melanogaster]
17738283	A0A0B4KI24	-0.333199207222383	0.00142	nucleoplasmin, isoform A [Drosophila melanogaster]
17738283	Q27415	-0.333199207222383	0.00142	nucleoplasmin, isoform A [Drosophila melanogaster]
7582378	Q9W0S9	-0.0200377532365451	0.66	unknown [Drosophila melanogaster]
45551893	D5SHR2	0.332468047595289	0.04	CG6904, isoform A [Drosophila melanogaster]
45551893	Q9VFC8	0.332468047595289	0.04	CG6904, isoform A [Drosophila melanogaster]
12006785	Q9VUY9	0.328500748810849	0.02	phosphoglucomutase [Drosophila melanogaster]
7799409	C7DZL4	0.119581615752672	0.65	NADH dehydrogenase subunit 5 [Drosophila melanogaster]
17737635	M9PFN1	-0.321928094887362	0.03	reptin, isoform A [Drosophila melanogaster]
17737635	Q9V3K3	-0.321928094887362	0.03	reptin, isoform A [Drosophila melanogaster]
969094	P48605	-0.313307612315018	0.03	chaperonin containing T-complex protein gamma subunit-like protein [Drosophila melanogaster]
8896016	Q24008	-0.466318004222537	0.24	INAD [Drosophila melanogaster]
8953897	Q9NDJ2	0.0172596791494484	0.79	helicase DOMINO A [Drosophila melanogaster]
9246969	Q9NBK7	-1.11700711686435	0.07	Toll-4 [Drosophila melanogaster]
8250173	Q9NFX2	0.313216726340491	0.04	iron regulatory protein 1B [Drosophila melanogaster]
10190801	Q9U1L3	-0.232007510213169	0.45	EG:BACR7A4.5 [Drosophila melanogaster]
19527547	Q27331	0.312113805060407	0.04	RE30552p [Drosophila melanogaster]
21356279	Q9VB69	0.309280029909216	0.03	malic enzyme b, isoform A [Drosophila melanogaster]
24638644	Q9V4E0	0.304668894541758	0.01	CG1970, isoform A [Drosophila melanogaster]
24646386	Q9VG31	0.298285253016846	0.05	malic enzyme, isoform B [Drosophila melanogaster]
24658560	P35381	0.300659478133711	0.05	bellwether [Drosophila melanogaster]
11999128	Q9GQM7	-0.00646902450000423	0.6	adaptor protein complex AP-2 small chain sigma2 [Drosophila melanogaster]
378342877	H7BWR4	0.298285253016846	0.05	malic enzyme [Drosophila melanogaster]
12039038	Q9GPJ1	10.5541734205852	0.14	SKELETOR [Drosophila melanogaster]
12053857	Q9VF08	0.0971129629586088	0.87	hypothetical protein [Drosophila melanogaster]
13124684	P04146	0.253241313340053	0.4	RecName: Full=Copia protein; AltName: Full=Gag-int-pol protein; Contains: RecName: Full=Copia VLP protein; Contains: RecName: Full=Copia protease
13276123	P05031	0.930291028188596	0.36	unnamed protein product [Drosophila melanogaster]
24649027	A4V391	-0.270528942380718	0.05	Tcp1-like, isoform A [Drosophila melanogaster]
24649027	P12613	-0.270528942380718	0.05	Tcp1-like, isoform A [Drosophila melanogaster]
13936316	Q8IN44	-0.57550217147209	0.23	Turandot A [Drosophila melanogaster]
7919	P13060	-0.26693886028971	0.05	unnamed protein product [Drosophila melanogaster]
17738015	Q9VEJ0	0.2668867313294	0.05	peroxiredoxin 3 [Drosophila melanogaster]
14189952	Q968S4	0.712097066796946	0.27	putative thrombospondin [Drosophila melanogaster]
20130025	Q7K569	0.256884562981483	0.04	glycerophosphate oxidase-1, isoform C [Drosophila melanogaster]
15010420	Q961V9	0.122947060160967	0.96	GH03273p [Drosophila melanogaster]
15010470	Q961U7	0.263914033723893	0.42	GH06154p [Drosophila melanogaster]
15149556	Q966S5	-0.036374393192686	0.82	junctophilin [Drosophila melanogaster]
21356859	Q9VW54	-0.256339753259785	0.05	regulatory particle non-ATPase 1 [Drosophila melanogaster]
17137626	O97477	0.232938938178974	0.00803	inos [Drosophila melanogaster]
17647529	M9PBL3	-0.233657247432262	0.04	heat shock protein 83, isoform A [Drosophila melanogaster]
17647529	P02828	-0.233657247432262	0.04	heat shock protein 83, isoform A [Drosophila melanogaster]
28573410	A1Z992	0.220841969773048	0.03	CG33138, isoform A [Drosophila melanogaster]
45552169	E8NH12	0.221356374583923	0.04	alpha-Adaptin, isoform B [Drosophila melanogaster]
45552169	P91926	0.221356374583923	0.04	alpha-Adaptin, isoform B [Drosophila melanogaster]
161084461	A8JNU6	0.225767148117104	0.03	neural conserved at 73EF, isoform I [Drosophila melanogaster]
419961	NA	-0.215131072010514	0.03	polyadenylate-binding protein - fruit fly (Drosophila melanogaster)
16182333	Q9VEB3	0.0360771737564211	0.87	GH01229p [Drosophila melanogaster]
20130403	Q9W0S7	-0.210987658064199	0.05	Tudor-SN, isoform A [Drosophila melanogaster]
24642172	Q27580	0.200298650485831	0.00396	adenosylhomocysteinase at 13, isoform A [Drosophila melanogaster]
24642172	X2JF40	0.200298650485831	0.00396	adenosylhomocysteinase at 13, isoform A [Drosophila melanogaster]
16198011	Q95TT3	-0.153805336079035	0.38	LD24726p [Drosophila melanogaster]
16198299	Q95TI3	0.0273387085905103	0.87	SD01790p [Drosophila melanogaster]
16648108	Q95T90	0.107220956813892	0.48	GH12222p [Drosophila melanogaster]
261338785	C9QPI7	0.190605932668797	0.000701	RH10980p [Drosophila melanogaster]
16768150	Q95SK1	0.527970355879787	0.22	GH19680p [Drosophila melanogaster]
24640588	Q9W3F6	0.168599603975745	0.02	CG1440, isoform A [Drosophila melanogaster]
24652780	Q5U117	-0.168839043513063	0.03	enigma [Drosophila melanogaster]
16768530	Q95S66	-0.334117503895277	0.64	GM07803p [Drosophila melanogaster]
16797814	Q95X10	0.963289543595381	0.09	phosphomannomutase 45A [Drosophila melanogaster]
17136226	B5RJQ0	0.207096234239937	0.43	Ecdysone-inducible gene L3, isoform A [Drosophila melanogaster]
17136226	Q95028	0.207096234239937	0.43	Ecdysone-inducible gene L3, isoform A [Drosophila melanogaster]
24655085	P20007	-1.72087860999857	0.19	phosphoenolpyruvate carboxykinase, isoform A [Drosophila melanogaster]
17136246	Q94515	0.120142363088497	0.6	infertile crescent, isoform A [Drosophila melanogaster]
17136284	P10105	-0.310340120612151	0.14	labial, isoform A [Drosophila melanogaster]
17865831	M9ND27	1.10852445677817	0.06	turandot M, isoform A [Drosophila melanogaster]
17865831	Q9VMR8	1.10852445677817	0.06	turandot M, isoform A [Drosophila melanogaster]
356461080	O18404	-1.09761079662642	0.21	AT02390p1 [Drosophila melanogaster]
24650445	Q9VBA0	-1.08445032179931	0.2	CG6330, isoform A [Drosophila melanogaster]
20129897	A1Z8U0	-1.04909454952817	0.06	pre-mRNA processing factor 8 [Drosophila melanogaster]
14029388	Q968K4	0.997028433468709	0.3	MMS19 [Drosophila melanogaster]
442620178	A0A0B4KH28	0.961525852185364	0.4	syndapin, isoform C [Drosophila melanogaster]
21355629	C0MJU2	-0.901870026143961	0.14	proteasome beta3 subunit [Drosophila melanogaster]
21355629	Q9XYN7	-0.901870026143961	0.14	proteasome beta3 subunit [Drosophila melanogaster]
21356339	Q9VU39	0.891196788503373	0.06	CG11255, isoform A [Drosophila melanogaster]
17136442	Q9V9W7	-0.0108883161427362	0.85	rough deal [Drosophila melanogaster]
17136454	Q7JPB9	0.224537693168005	0.41	seizure, isoform A [Drosophila melanogaster]
19921464	Q9VJD1	0.86769270789587	0.14	CG6453, isoform A [Drosophila melanogaster]
17136556	P20659	0.658272210575162	0.48	trithorax, isoform D [Drosophila melanogaster]
17136562	P04814	-0.563900885193326	0.17	alphaTrypsin [Drosophila melanogaster]
21492634	P56538	-0.831944501269584	0.35	eIF6 [Drosophila melanogaster]
162944906	A9UNB7	-0.81306104040282	0.26	LP13860p [Drosophila melanogaster]
17136612	P23380	-1.20511442990461	0.38	vacuolar H[+] ATPase subunit 16-1, isoform A [Drosophila melanogaster]
24584399	M9PBB5	-0.796590563986073	0.09	vasa, isoform A [Drosophila melanogaster]
24584399	P09052	-0.796590563986073	0.09	vasa, isoform A [Drosophila melanogaster]
17137260	D1Z3A2	-0.78719362749275	0.07	ATPase coupling factor 6, isoform A [Drosophila melanogaster]
17137260	Q24407	-0.78719362749275	0.07	ATPase coupling factor 6, isoform A [Drosophila melanogaster]
404331802	J9THZ9	0.771583791035782	0.15	cytochrome c oxidase subunit II (mitochondrion) [Drosophila melanogaster]
11321422	Q9GSE0	-0.76464915285192	0.18	focal contact protein paxillin [Drosophila melanogaster]
17136674	A0A0B4LFM0	1.03511740624363	0.53	calbindin 53E [Drosophila melanogaster]
17136674	P41044	1.03511740624363	0.53	calbindin 53E [Drosophila melanogaster]
17136678	P27864	-0.0855885557189887	0.63	recombination repair protein 1, isoform A [Drosophila melanogaster]
17136690	B5X0J6	-0.0635888894951492	0.95	Src oncogene at 42A, isoform A [Drosophila melanogaster]
17136690	Q9V9J3	-0.0635888894951492	0.95	Src oncogene at 42A, isoform A [Drosophila melanogaster]
17136698	Q7KM15	-0.176322772640463	0.58	bicaudal, isoform A [Drosophila melanogaster]
17136706	M9MRT6	1.13776117086927	0.03	roughened, isoform A [Drosophila melanogaster]
