GI number	Uniprot	log2FoldChange	Anova p-value	Description
19922412	Q7JY07	-0.718087583960517	0.00858	CG9010 [Drosophila melanogaster]
24650270	Q9VBG7	-0.71902342345585	0.02	CG31086, isoform A [Drosophila melanogaster]
161076484	A1Z814	0.723061311033188	0.23	CG1513, isoform A [Drosophila melanogaster]
229608977	C4IXX0	0.722466024471091	0.03	RT02374p [Drosophila melanogaster]
17647891	E2QD65	-0.329064276168991	0.05	ribosomal protein S19a, isoform A
17647891	P39018	-0.329064276168991	0.05	ribosomal protein S19a, isoform A
442634489	L7EEU0	-0.724786457780681	0.16	dead box protein 80, isoform E [Drosophila melanogaster]
17737290	H1ZYF1	-0.638112207239921	0.03	ribosomal protein S6, isoform B
17737290	P29327	-0.638112207239921	0.03	ribosomal protein S6, isoform B
17737895	P46415	-0.349149563622387	0.02	formaldehyde dehydrogenase
17862964	Q8T9D5	-0.283792966000591	0.05	SD05601p
17530815	F6J1D0	0.711394505438901	0.00637	spaghetti squash [Drosophila melanogaster]
17530815	P40423	0.711394505438901	0.00637	spaghetti squash [Drosophila melanogaster]
17864256	Q9VXN2	-0.701658725430253	0.07	stunted, isoform A [Drosophila melanogaster]
19921078	Q9VKW1	-0.704993204427926	0.54	CG5168, isoform A [Drosophila melanogaster]
161076949	A8DZ14	-0.700102901779566	0.46	fasciclin 3, isoform D [Drosophila melanogaster]
221307696	B9EQT5	-0.703341942094854	0.24	GM22210p [Drosophila melanogaster]
442627278	M9PB92	-0.699918607410886	0.48	cnot 4 homologue, isoform K [Drosophila melanogaster]
17864162	P55830	-0.398163680714448	0.00282	ribosomal protein S3A, isoform A
21356345	Q9Y114	-0.699219679978836	0.34	CG8042 [Drosophila melanogaster]
24644107	Q9VN71	-0.692844735545139	0.77	CG14661, isoform A [Drosophila melanogaster]
24666814	Q9VW09	-0.701341684435485	0.12	l(3)76BDr [Drosophila melanogaster]
38047707	Q6XI13	-0.699163561453822	0.09	similar to Drosophila melanogaster CG9091, partial [Drosophila yakuba]
17865634	Q9W283	-0.687615677783509	0.00744	arc, isoform B [Drosophila melanogaster]
54650606	Q7JR71	-0.688798311705696	0.04	RE42883p [Drosophila melanogaster]
62862480	Q8MRW1	-0.69134323932431	0.24	CG40042 [Drosophila melanogaster]
165972515	B0BNN6	-0.684512812080104	0.32	GH21972p [Drosophila melanogaster]
17864292	Q9VIE8	0.216575094741134	0.03	aconitase, isoform B
442621201	A0A0B4KH03	-0.685506871421473	0.46	tetraspanin 96F, isoform B [Drosophila melanogaster]
17864458	M9PGW0	-0.398084365997647	0.03	optic ganglion reduced, isoform A
17864458	P27716	-0.398084365997647	0.03	optic ganglion reduced, isoform A
2935517	O61540	-0.677156198930903	0.27	methionine aminopeptidase [Drosophila melanogaster]
17944396	Q8SZP0	0.678071905112638	0.15	RE72002p [Drosophila melanogaster]
18859805	Q9VY46	0.681049604912533	0.96	F box and leucine-rich-repeat gene 4 [Drosophila melanogaster]
17933498	Q9V3S0	-0.510830771143941	0.04	cytochrome P450-4g1
19922030	Q7KLX3	-0.688641146822825	0.41	Translocon-associated protein delta [Drosophila melanogaster]
19922038	Q95TS2	-0.682370618893293	0.19	CG7777, isoform B [Drosophila melanogaster]
24648619	Q9VDE8	0.675820937561662	0.22	CG7044 [Drosophila melanogaster]
24650005	Q9VBT4	-0.685126662646588	0.38	CG31104 [Drosophila melanogaster]
28317175	Q0KHU5	-0.679478659214648	0.28	HL01250p [Drosophila melanogaster]
66771787	Q4V567	-0.682103659131688	0.33	IP13460p [Drosophila melanogaster]
119638221	A1YK78	0.681282777443856	0.14	Nup133 [Drosophila melanogaster]
19921636	Q9V9R2	-0.671844113538648	0.04	Cullin-2, isoform B [Drosophila melanogaster]
17945344	P48375	-0.719700525998394	0.04	RE16407p
17975542	A0A0B4KFZ9	-0.537728828840165	0.05	histone H4 replacement, isoform C
17975542	P84040	-0.537728828840165	0.05	histone H4 replacement, isoform C
261278425	D3DME7	0.669938909340775	0.39	GH17693p [Drosophila melanogaster]
17985987	A0A0H4XWW0	0.503238103286702	0.02	belle, isoform A
17985987	Q9VHP0	0.503238103286702	0.02	belle, isoform A
17737419	Q9V426	0.662558905741313	0.03	vasa intronic gene, isoform A [Drosophila melanogaster]
20130215	Q9W2E8	-0.660084275181059	0.06	CG10320, isoform A [Drosophila melanogaster]
18543299	A0A0S0X8K7	-0.446256229889564	0.02	tiny tim 50
18543299	Q9W4V8	-0.446256229889564	0.02	tiny tim 50
24659804	Q9VS22	-0.658348384652059	0.06	CG8628, isoform A [Drosophila melanogaster]
28557563	Q05344	-0.661177556758586	0.15	SD06504p [Drosophila melanogaster]
18859841	Q9VXG9	-0.617912922522443	0.01	CG4239, isoform C
189182166	B3DN57	-0.660348983964307	0.06	LD39332p [Drosophila melanogaster]
17137576	O77477	-0.648594489928442	0.46	CG4882 [Drosophila melanogaster]
18860055	Q9V3P3	-0.652939294537163	0.17	REG, isoform A [Drosophila melanogaster]
19920658	Q9VQT8	-0.651902046734932	0.03	CG16712 [Drosophila melanogaster]
20129649	Q9VIM0	0.646503598915569	0.44	CG2493, isoform A [Drosophila melanogaster]
18859983	Q9VXK7	-0.424139706386096	0.03	CG9172, isoform A
24640268	Q9W3U0	-0.652597811601511	0.43	CG4586 [Drosophila melanogaster]
28574402	Q8IGQ3	-0.649327943848087	0.22	CG13284, isoform B [Drosophila melanogaster]
78706460	Q9NHE5	0.650415562209772	0.03	calcium activated protein for secretion, isoform A [Drosophila melanogaster]
18859993	Q9VY05	0.374927285904691	0.02	CG9512
19920720	M9PCL4	-0.64015077708239	0.26	CG3887, isoform A [Drosophila melanogaster]
19920720	Q9VMV6	-0.64015077708239	0.26	CG3887, isoform A [Drosophila melanogaster]
23397609	Q9U1L2	-0.644341047800088	0.04	CG3699 [Drosophila melanogaster]
24586311	Q9V4P1	0.640269872400253	0.46	scraps, isoform B [Drosophila melanogaster]
24641546	Q9VYM2	0.644868252279146	0.0025	CG2556 [Drosophila melanogaster]
24641669	Q9VYH3	-0.645478152330003	0.32	CG2200 [Drosophila melanogaster]
24641669	X2JER0	-0.645478152330003	0.32	CG2200 [Drosophila melanogaster]
18860087	P41374	-0.680822516128672	0.03	eukaryotic translation initiation factor 2alpha
18860087	X2JFR6	-0.680822516128672	0.03	eukaryotic translation initiation factor 2alpha
24663511	Q9VU17	-0.639568831371627	0.08	CG10960, isoform B [Drosophila melanogaster]
19920408	O18413	-0.253360705797613	0.03	Pros45
51091987	Q9VM75	0.645107141764852	0.17	SD11791p [Drosophila melanogaster]
161076580	A8DRW0	-0.642328720028131	0.11	cuticular protein 49Aa [Drosophila melanogaster]
221307612	B9EQP8	-0.649092838140872	0.18	AT19807p [Drosophila melanogaster]
19921088	Q9VKV1	-0.244484009462014	0.04	lysosomal alpha-mannosidase, isoform A
19920494	Q9VPX3	-0.626321530482214	0.16	CG4749 [Drosophila melanogaster]
28573019	Q9VG23	-0.637865582717618	0.35	CG10126, isoform A [Drosophila melanogaster]
386769834	M9NDT0	-0.633651993635745	0.07	CG43338, isoform B [Drosophila melanogaster]
17137316	P32748	-0.625490525348328	0.25	dihydroorotate dehydrogenase, isoform A [Drosophila melanogaster]
19921950	A0A0B4LF26	-0.626247988166437	0.32	adam [Drosophila melanogaster]
19921950	Q7K550	-0.626247988166437	0.32	adam [Drosophila melanogaster]
19922138	Q7K0S9	-0.626703610222781	0.06	sugarbabe, isoform A [Drosophila melanogaster]
24645339	Q9VHE5	-0.61849212428635	0.05	ribosomal protein L34b, isoform A [Drosophila melanogaster]
24647013	Q8MRT7	-0.618773055306139	0.16	CG4210 [Drosophila melanogaster]
19921244	Q9VJZ4	-0.291634172573763	0.05	CG9306
19921314	Q9V419	0.398827272097585	0.03	Cyp28a5
19922382	Q7K127	-0.474237135749716	0.05	CG7997, isoform A
24584097	Q9VJZ5	-0.60989867722465	0.34	Two A-associated protein of 42kDa [Drosophila melanogaster]
24762424	Q9W1H4	0.606463569932078	0.16	DNA ligase I [Drosophila melanogaster]
19922390	Q7JZW2	-0.41577188211012	0.05	ribosomal protein S15, isoform A
189181761	B3DMK5	0.619998361579339	0.53	AT17875p [Drosophila melanogaster]
19922626	Q7K3B7	-0.477773254626807	0.000228	CG11208
19922716	Q9W2C4	-0.694234568614384	0.00355	CG4377
320543347	Q9VB64	-0.610105147764608	0.04	CG42813 [Drosophila melanogaster]
442621449	A0A0B4KI46	-0.610787176306819	0.54	CG18437, isoform G [Drosophila melanogaster]
19922746	A0A0B4LG52	-0.534336427651188	0.01	ribosomal protein S16
19922746	Q9W237	-0.534336427651188	0.01	ribosomal protein S16
21430884	Q8MRU8	-0.596239209910215	0.32	SD22712p [Drosophila melanogaster]
20128923	O46067	0.376671059481794	0.02	CG2918, isoform A
442624383	NA	0.602143079048106	0.44	glycogenin, isoform E [Drosophila melanogaster]
20129261	Q9VMH2	-0.44287170747557	0.05	Actin-related protein 2/3 complex, subunit 4
20129705	Q9V9M7	-0.756120547189244	0.04	ribosomal protein L21, isoform A
21711707	Q8MQQ5	-0.596715682146834	0.08	LD44814p [Drosophila melanogaster]
24652789	A1Z8N1	0.597828676479111	0.08	trehalose transporter 1-1, isoform A [Drosophila melanogaster]
24663552	Q9VU22	0.59442452987536	0.77	CG14120 [Drosophila melanogaster]
27819913	Q7JVX4	-0.598259323334614	0.08	LD40776p, partial [Drosophila melanogaster]
20130085	Q7JXC4	-0.344648171387446	0.04	P32
28573949	Q8T0Q4	-0.597343302478789	0.32	shrub [Drosophila melanogaster]
16768150	Q95SK1	0.587262880675089	0.67	GH19680p [Drosophila melanogaster]
20130403	Q9W0S7	-0.21377929103174	0.02	Tudor-SN, isoform A
21355081	Q9W555	-0.394278939112046	0.02	delta-coatomer protein, isoform A
21355265	Q9VRL1	-0.82781902461732	0.03	Uev1A, isoform A
21356029	Q9VU35	-0.864883069086943	0.04	CG11267
21355305	Q9VCJ4	-0.588230214555067	0.18	CG31148 [Drosophila melanogaster]
21356175	Q9VH02	0.585819462457603	0.15	CG6293, isoform A [Drosophila melanogaster]
21356863	Q95TZ4	-0.586403343725642	0.63	CG14740 [Drosophila melanogaster]
24580667	Q9VPR2	-0.58991171669289	0.32	CG11835, isoform A [Drosophila melanogaster]
161077186	A8DYH1	-0.586973225842303	0.43	muscle wasted, isoform C [Drosophila melanogaster]
209945036	B6UVQ3	-0.591194454432671	0.24	crossover suppressor on 3 of Gowen [Drosophila melanogaster]
21356475	Q9VTU2	-0.64803553135783	0.04	lethal (3) neo18, isoform A
15010470	Q961U7	-0.574368217438902	0.25	GH06154p [Drosophila melanogaster]
21356589	Q9VAN0	-0.326520231520667	0.03	CG11899
17946702	Q8SY66	-0.577907743187206	0.16	RH62992p [Drosophila melanogaster]
21356905	Q9VNC0	-0.572710134188926	0.17	CG12162, isoform A [Drosophila melanogaster]
