gene	slope	pval	r2	symbol
FBgn0039760	-0.406453746915411	0.00773005680897714	0.545939427070878	CG9682
FBgn0040725	-0.336183851543016	0.00108370166470651	0.624124078057823	CG13946
FBgn0013348	-0.316489652581068	0.000705083861093739	0.599324725910553	TpnC41C
FBgn0022702	-0.309567895555777	0.00511478486768425	0.525637323633114	Cht2
FBgn0267164	-0.309343475297699	0.000392793145934752	0.633214648466081	FBgn0267164
FBgn0040705	-0.286391989377787	0.00895179900641508	0.511229060644893	ND-B8
FBgn0004372	-0.257182864457511	0.0093835606088218	0.535202656615061	aly
FBgn0262954	-0.232404355490863	0.00621787505290059	0.530798121031468	Rpb12
FBgn0038315	-0.230957660302223	0.00145323241559379	0.601468440172866	CG14866
FBgn0037186	-0.218473623894039	0.0354358176208062	0.542281713714835	CG11241
FBgn0032645	-0.213358369947075	0.000604020171669272	0.670186180357965	CG15142
FBgn0031814	-0.2131392931234	0.00520672601164412	0.507231055280673	retm
FBgn0030004	-0.207709307402776	0.00224356320686183	0.52515517139175	CG10958
FBgn0030759	-0.20733321054104	0.00249977197515825	0.552458640695561	CG13014
FBgn0267191	-0.207012163338889	0.0222265583244342	0.509272556598481	FBgn0267191
FBgn0266404	-0.205511804799259	0.00406783373993799	0.537232821509714	FBgn0266404
FBgn0033515	-0.205465068880052	0.00139683768092689	0.563940651836949	Ir47a
FBgn0029885	-0.201940352534374	0.00229416641610233	0.52389945691932	CG3224
FBgn0030011	-0.201295277986213	0.000236555829493343	0.669882204036654	Gbeta5
FBgn0034323	-0.196128357895096	0.00131053424366863	0.625437136229031	CG18537
FBgn0031032	-0.195235994374074	0.00988315917075996	0.520840445148041	CG14204
FBgn0052639	-0.193244200324307	0.00393105602421002	0.507469756525557	CG32639
FBgn0031692	-0.192410602527996	0.00242884348472011	0.70539505795574	TpnC25D
FBgn0085192	-0.166781531212135	0.0314090047451519	0.548481933597115	CG34163
FBgn0086447	-0.165929858527068	0.0101004997652386	0.537418976995201	l(2)37Cg
FBgn0086039	-0.162793180606126	0.00442897039068384	0.562298964018017	FBgn0086039
FBgn0267691	-0.16250971758614	0.00513015374134784	0.551676547804648	FBgn0267691
FBgn0267809	-0.157106123184823	0.00645696272112078	0.553183054521044	FBgn0267809
FBgn0038017	-0.15552118023734	0.0417134266937511	0.51576690378837	CG4115
